省,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
吉林省,32.0817,1600,28159,29,2,松原市,2014,20566,5052.08
吉林省,15.1863,1010,18398,20,2,通化市,2014,20740.8,4755.87
吉林省,114.459,5340,119921,116,2,长春市,2014,20664,5009.78
江西省,19.7933,1040,19057,19,2,抚州市,2014,20037.4,3055.85
江西省,47.0386,1840,48611,62,2,赣州市,2014,19928.9,2851.41
江西省,22.0995,1240,24884,22,2,吉安市,2014,19879.8,2990.39
江西省,13.6202,738.2137,11834,18,2,景德镇市,2014,20109.8,3259.61
江西省,33.6504,1780,38904,48,2,九江市,2014,19932.5,3253.39
江西省,61.8086,3670,54452,123,2,南昌市,2014,19991,3180.76
江西省,12.6724,864.9524,10710,14,2,萍乡市,2014,19786.9,3047.75
江西省,30.7811,1550,29919,31,2,上饶市,2014,20133,3201.26
江西省,10.8364,900.2683,10988,15,2,新余市,2014,19879.6,3087.27
江西省,34.8204,1520,33693,32,2,宜春市,2014,19889.8,3138.8
辽宁省,38.2184,2390,56951,48,2,鞍山市,2014,20199.6,3525.44
辽宁省,11.5275,1170,32794,21,2,本溪市,2014,20639.1,4655.98
辽宁省,28.3594,993.5232,37240,18,2,朝阳市,2014,20252.8,4636.65
辽宁省,114.9344,7660,117263,114,2,大连市,2014,20462.5,4443.8
辽宁省,19.487,1020,26855,18,2,丹东市,2014,20636.4,4576.71
辽宁省,20.3218,1280,36133,32,2,抚顺市,2014,20635.5,4724.33
辽宁省,19.8151,606.1578,19787,22,2,阜新市,2014,20404.1,4741.21
辽宁省,22.9912,721.5505,36937,23,2,葫芦岛市,2014,20279.4,4538.99
辽宁省,32.4452,1360,35092,30,2,锦州市,2014,20387.1,4646.25
辽宁省,17.5267,1010,56744,19,2,辽阳市,2014,20528.5,4633.68
辽宁省,21.9783,1300,57081,29,2,盘锦市,2014,20424.8,4606.54
辽宁省,145.5314,7100,140507,120,2,沈阳市,2014,20504.8,4733.78
辽宁省,19.045,867.2909,32766,24,2,铁岭市,2014,20580.9,4807.97
辽宁省,26.4511,1550,63361,25,2,营口市,2014,20473.3,4536.13
山东省,60.4683,2280,97317,69,2,滨州市,2014,20105,4178.27
山东省,69.5216,2600,60889,67,2,德州市,2014,20001.1,4138.96
山东省,53.2119,3430,104304,78,2,东营市,2014,20174.4,4194.97
山东省,59.7545,2220,76235,83,2,菏泽市,2014,19927.8,3901.37
山东省,138.1099,5770,131956,150,2,济南市,2014,20056.2,4074.14
山东省,82.7603,3800,122273,106,2,济宁市,2014,20021.6,3930.64
山东省,65.2428,2520,67954,80,2,聊城市,2014,19937.7,4047.45
山东省,141.9713,3570,146173,97,2,临沂市,2014,20162.7,3933.18
山东省,172.3204,8690,172456,130,2,青岛市,2014,20321,4074.13
山东省,40.0383,1610,49954,52,2,日照市,2014,20238.8,3969.32
山东省,50.4375,3000,56185,80,2,泰安市,2014,20043.6,4002.63
山东省,52.6348,2790,54184,63,2,威海市,2014,20478.8,4166.66
山东省,169.1177,4790,170858,105,2,潍坊市,2014,20223.6,4077.1
山东省,115.4701,6000,136361,95,2,烟台市,2014,20370.7,4168.97
山东省,41.7844,1980,56795,58,2,枣庄市,2014,20084.7,3883.96
山东省,71.9549,4030,89980,91,2,淄博市,2014,20131.6,4076.05
陕西省,9.3639,689.437,12873,33,2,安康市,2014,19305.8,3627.6
陕西省,20.4682,1640,34851,36,2,宝鸡市,2014,19150.5,3812.16
陕西省,17.4218,991.05,30519,33,2,汉中市,2014,19136.1,3669.6
陕西省,6.6634,576.267,8017,14,2,商洛市,2014,19398,3725.19
陕西省,6.9349,325.363,11205,6,2,铜川市,2014,19320.8,3898.09
陕西省,39.4396,1420,51044,43,2,渭南市,2014,19395,3869.45
陕西省,192.4402,5490,131523,161,2,西安市,2014,19296.1,3777.79
陕西省,27.0589,2080,69392,55,2,咸阳市,2014,19261.1,3853.75
陕西省,24.6119,1390,146164,21,2,延安市,2014,19349.1,4035.19
陕西省,50.9566,2920,158205,51,2,榆林市,2014,19373.1,4212.54
四川省,11.8,456.6596,7673,10,2,巴中市,2014,19125.5,3550.54
四川省,312.8,10100,205899,162,2,成都市,2014,18821.4,3413.99
四川省,18.1,1350,20128,39,2,达州市,2014,19180.4,3476.26
四川省,32,1520,45588,42,2,德阳市,2014,18873.3,3464.01
四川省,12,919.6124,16867,22,2,广安市,2014,19083.2,3375.39
四川省,14,566.192,16149,19,2,广元市,2014,19008,3582.89
四川省,22.3,1210,29522,30,2,乐山市,2014,18776.3,3256.09
四川省,21,1260,19268,44,2,泸州市,2014,18977.1,3158.64
四川省,19,944.8913,20811,20,2,眉山市,2014,18799.1,3334.21
四川省,37.8,1580,40050,62,2,绵阳市,2014,18903.7,3542.29
四川省,27.7,1430,28258,38,2,南充市,2014,19042.6,3462.55
四川省,13.8,1160,18229,31,2,内江市,2014,18909.8,3295.84
四川省,12.8,870.8501,27740,15,2,攀枝花市,2014,18575.9,3000.15
四川省,13.3,809.554,20212,15,2,遂宁市,2014,18969.6,3403.17
四川省,11.8,462.4143,13333,18,2,雅安市,2014,18693.3,3339.59
四川省,19.2,1440,21225,34,2,宜宾市,2014,18876.6,3178.58
四川省,13.3,1200,12213,13,2,资阳市,2014,18932.3,3345.92
四川省,13.8,1070,14635,23,2,自贡市,2014,18885.5,3257.7
云南省,66.33,500.9758,10985,5,2,保山市,2014,18279.7,2818.04
云南省,199.06,3710,116366,117,2,昆明市,2014,18680.4,2833.74
云南省,25.95,261.8385,12675,4,2,丽江市,2014,18456.2,3024.58
云南省,70.2,465.1215,10956,4,2,临沧市,2014,18341.5,2695.25
云南省,86.19,476.9455,10795,0,2,普洱市,2014,18443.1,2602.51
云南省,105.96,1650,48672,24,2,曲靖市,2014,18790.2,2862.76
云南省,79.48,1180,33114,17,2,玉溪市,2014,18603.2,2698.98
