2015——gwr_FID,Cond,LocalR2,Predicted,Intercept,C1_2015_ci,C2_2015_ci,C3_2015_ci,StdError,StdErr_Int,StdErrC1_2,StdErrC2_2,StdErrC3_2,Source_ID,FID,省,省代码,市,市代码,市类型,省类型,公众号,搜一搜,微博,备注,备注2,数量,ʡ,stock,GDP,DMSP_sum,baidu_index,scale,city,year,location_x,location_y
20,12.967738674400000,0.880827489763000,15.646487062400000,3.403749477360000,0.029373818979400,0.000231024549062,-0.247211290072000,4.553057779410000,5.722800169070000,0.003979369494580,0.000199014087694,0.192797820589000,279,279,陕西省,610000,商洛市,611000,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,6.903000000000000,621.831000000000020,7102,31,2,商洛市,2015,19398.000000000000000,3725.190000000000100
21,12.142508757500000,0.907831853584000,11.943706586799999,2.878036907640000,0.030493973912300,0.000209764725897,-0.252324154946000,5.723435616960000,6.560053229970000,0.005286352699750,0.000264199169561,0.204875123012000,280,280,陕西省,610000,铜川市,610200,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,7.657300000000000,324.538999999999990,10474,12,2,铜川市,2015,19320.799999999999000,3898.090000000000100
22,13.194548338000001,0.911284958490000,39.855157325199997,-0.122648037551000,0.029850196804300,0.000299256788697,-0.269019207853000,4.190446758670000,6.266293256870000,0.004899536836160,0.000231808616162,0.207846911359000,281,281,陕西省,610000,渭南市,610500,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,43.475800000000000,1470.000000000000000,52585,73,2,渭南市,2015,19395.000000000000000,3869.449999999999800
23,11.327431592000000,0.890112227450000,157.007947980000010,5.777640794530000,0.030891388773200,0.000147237021015,-0.252476745976000,9.380163259220000,6.207399516660000,0.004445266693000,0.000241100055875,0.200466062639000,282,282,陕西省,610000,西安市,610100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,218.911599999999990,5800.000000000000000,127471,185,2,西安市,2015,19296.099999999999000,3777.790000000000000
24,11.019003237900000,0.898013214736000,62.231673641199997,5.851727409970000,0.030659148348600,0.000129180965667,-0.229873013260000,4.668777169820000,6.700709768360000,0.005383107008430,0.000275343132094,0.202825133495000,283,283,陕西省,610000,咸阳市,610400,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,31.062700000000000,2160.000000000000000,64376,79,2,咸阳市,2015,19261.099999999999000,3853.750000000000000
25,13.019973719699999,0.920740598814000,61.282025207600000,0.409800648841000,0.029866782802600,0.000255323314482,-0.237506898913000,29.218150337099999,6.972714207040000,0.006429248785410,0.000288036948929,0.213051544007000,284,284,陕西省,610000,延安市,610600,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,26.470800000000001,1200.000000000000000,128738,33,2,延安市,2015,19349.099999999999000,4035.190000000000100
26,13.511845669600000,0.929704444431000,104.309843104000000,-1.089367157190000,0.029423258525900,0.000270888173183,-0.214349610940000,30.956146671999999,7.390793921360000,0.007568973866200,0.000313308488371,0.223870844811000,285,285,陕西省,610000,榆林市,610800,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,陕西省,54.693199999999997,2620.000000000000000,154360,63,2,榆林市,2015,19373.099999999999000,4212.540000000000000
27,8.430790905449999,0.828613738921000,25.120737924600000,13.815409070599999,0.028255801297900,-0.000131136768594,-0.071859665303000,5.093766051820000,6.346401241830000,0.004550819490430,0.000240104525729,0.206888956407000,288,288,四川省,510000,巴中市,511900,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,14.000000000000000,501.343799999999990,9210,23,2,巴中市,2015,19125.500000000000000,3550.540000000000000
28,6.643850704310000,0.806840710416000,296.140491445000010,13.095516739100001,0.031981167567100,-0.000240898379773,-0.056636262925700,43.115746144200003,8.076288571819999,0.007487833024350,0.000303163468438,0.269957482229000,289,289,四川省,510000,成都市,510100,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,366.199999999999990,10800.000000000000000,198878,255,2,成都市,2015,18821.400000000001000,3413.989999999999800
29,9.528059832400000,0.801145667223000,47.405545739200001,15.269615500800001,0.025363261876300,-0.000211623005102,0.048841020711900,4.217648327980000,5.771634658750000,0.003661121752530,0.000198253791196,0.180810439220000,290,290,四川省,510000,达州市,511700,地级市,省,数读城事,CityDast,数读城事,【行政区划2020】基础数据由青大从某主流网络地图获取。青大，笔名文刀木工，公众号：数据处理与分析（Qing_master）。【数读城事】（CityDast)将数据,段。数据虽然处理的较为细致，但仍可能存在错误，且不具备权威性，谨慎使用。数读菌作为数据整理者，不宣告数据的所有权，但希望任何个人和机,1,四川省,21.100000000000001,1350.000000000000000,23792,60,2,达州市,2015,19180.400000000001000,3476.260000000000200
