省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,passenger_volume,POP,Built_area,Construction_land_area,wage_average,P_road_area,city,year,P_baidu_index,baidu_index,scale,all_area,downtown_area,Built_area_all,Built_area_downtown,Construction_land_area_all,Construction_land_area_downtown,road_area_all,road_area_downtown,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
广东省,省,阳江市,地级市,,0.084957108,367.02,49894.0,9020.8352,17043.7904,5.85555984,1.166002822,2554.5728,3033.5552,50182.0,8.12,阳江市,2015,1317.2016,33.0,2,7956.0,2483.0,0.321087582,1.0288251309999998,0.381291503,1.221729843,0.122674711,0.393072896,5.033803863,40653.0,0.8706682170000001,35425.74843,19580.0,2437.05
广东省,省,云浮市,地级市,,0.063243713,384.07,29078.0,5912.304092,5096.813873,11.3149268,1.218872457,856.2647306,733.9411977000002,49934.0,6.27,云浮市,2015,1182.460818,29.0,2,7785.0,777.0,0.109989047,1.10201381,0.094276326,0.944583266,0.0268465,0.268983269,3.623620026,28228.0,0.56537305,22303.96683,19581.5,2524.39
广东省,省,湛江市,地级市,,0.043310908,620.62,32933.0,10973.0542,16245.101680000002,11.47811912,1.138762255,1508.27605,1494.4386550000004,50177.0,7.88,湛江市,2015,1010.129832,73.0,2,13261.0,1703.0,0.113737731,0.88565828,0.112694266,0.8775329740000001,0.096674459,0.7527891959999999,5.174412571,69808.0,0.888026678,60059.90828,19413.2,2331.53
广东省,省,肇庆市,地级市,,0.078952375,294.14,48670.0,15490.40102,20653.86802,7.705671574,1.082771619,2890.553299,2717.614213,54469.0,10.74,肇庆市,2015,1507.040609,61.0,2,14891.0,2892.0,0.194114116,0.999499758,0.182500451,0.939700627,0.096971325,0.4993084370000001,4.350063746,64829.0,0.636031521,48251.89532,19623.1,2604.55
广东省,省,中山市,地级市,,0.221892994,891.26,94030.0,75317.71761,54980.99668,5.201327243,0.495703668,4342.249169,3623.747508,58776.0,4.86,中山市,2015,3342.594684,107.0,2,1784.0,1784.0,2.433996171,2.433996171,2.0312486030000003,2.0312486030000003,0.432174888,0.432174888,47.5759249,86160.0,8.321704111,76434.85226,19746.3,2493.33
广东省,省,珠海市,地级市,,0.25072540600000004,646.65,124706.0,115921.2916,195782.2768,20.56727527,0.690797522,7617.509359999999,7617.509359999999,67958.0,54.24,珠海市,2015,5590.268966,91.0,2,1732.0,1732.0,4.398100092,4.398100092,4.398100092,4.398100092,3.521362587,3.521362587,34.64585466,67698.0,5.562399409,54839.69578,19743.7,2452.52
广西壮族自治区,自治区,百色市,地级市,,0.055448845,114.09,27363.0,4717.03148,13257.92872,11.83723699,1.15327233,1256.014299,1172.280013,49809.0,12.52,百色市,2015,558.2285775,20.0,2,36201.0,3718.0,0.034695569,0.337819876,0.032382531,0.31529855100000004,0.012402972,0.120763852,1.079378656,39121.0,0.248057035,45927.01588,19020.2,2661.66
广西壮族自治区,自治区,北海市,地级市,,,515.43,55248.0,24772.56338,47749.11592,14.38047304,1.0649725,4520.992817,4397.13,49773.0,14.01,北海市,2015,2167.599296,35.0,2,3337.0,957.0,1.3548075569999998,4.724130425,1.317689542,4.594702195,0.27240036,0.94984326,7.380640083999999,28135.0,1.552779815,29724.864,19327.9,2397.3
广西壮族自治区,自治区,崇左市,地级市,,0.045429263,143.66,33355.0,4445.2289329999985,7424.997778,6.653188798,1.215354899,1367.762749,928.1247222,47630.0,6.03,崇左市,2015,0.0,0.0,2,17332.0,2918.0,0.07891546,0.46873295,0.053549775999999986,0.318068788,0.012808678,0.076079507,0.897537912,15566.0,0.221211799,19406.46869,19116.4,2494.2
广西壮族自治区,自治区,防城港市,地级市,,0.098905424,153.9,67972.0,32960.809330000004,36464.94852,9.844441058,1.04697109,4161.165297,3942.156597,51432.0,11.7,防城港市,2015,1204.547849,11.0,2,6238.0,2836.0,0.667067217,1.46726562,0.631958416,1.390041113,0.106444373,0.234132581,4.030234802,25060.0,0.6306147120000001,19745.17726,19191.2,2422.59
