Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
888,21.0229,,张家界市,2012,338.9855,432.0,4936.0,32.0,3.0,170.1,2,11111.0,111111.0,6.412000000000001,2.6448518971848225
889,0.6207,,金昌市,2002,45.2011,,3955.0,35.0,,45.85,2,1101.0,101101.0,0.9479999999999998,0.1968050668543279
890,26.8681,,西双版纳傣族自治州,2008,,,9913.0,,,,2,100.0,100.0,0.8550000000000001,0.7537940431411682
891,,,南平市,2004,321.696,169.0,13708.0,20.0,,304.41,2,1111.0,101111.0,0.8800000000000001,0.4020507731745638
892,,,巴彦淖尔市,2020,874.0,1126.0,33990.0,51.0,45.0,,2,11111.0,11111.0,4.526999999999999,2.2402526766011928
893,7.6928,,遵义市,2003,307.5252,246.0,16073.0,47.0,,713.42,2,1111.0,101111.0,0.8800000000000001,0.45268742791234134
894,5.4154,,白城市,2005,152.1856,285.0,13480.0,38.0,,201.6,2,1111.0,101111.0,1.0759999999999998,0.6920079241545207
895,1.9814,,海东市(2013年前为海东地区）,2002,,,6797.0,,,,2,100.0,100.0,0.8550000000000001,0.18499068634474852
896,,,伊春市,2020,294.0,782.0,17175.0,97.0,39.0,,2,11111.0,11111.0,3.9,1.8668283808368706
897,4.311,,汉中市,2005,216.58,186.0,14166.0,31.0,,376.56,2,1111.0,101111.0,0.8800000000000001,0.4267840658950508
898,4.0138,,汉中市,2004,192.531,185.0,14172.0,28.0,,373.99,2,1111.0,101111.0,0.8800000000000001,0.8083128420718648
899,2.4326,,白银市,2002,95.1751,,10589.0,51.0,,173.44,2,1101.0,101101.0,0.9939999999999998,0.2063546798029556
900,10.1057,,丽江市,2008,101.149,200.0,10847.0,22.0,,119.49,2,1111.0,101111.0,1.094,0.9645037230367696
