Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
129,3.4,,锡林郭勒盟,2003,,,11523.0,,,,2,100.0,100.0,-0.9355311393737792,-0.12509981036186213
130,,,神农架林区,2002,,,188.0,,,,2,100.0,100.0,-1.9769823551177976,-0.9198107295877791
131,,,黄南藏族自治州,2003,,,1049.0,,,,2,100.0,100.0,-1.8978742361068728,-0.1583823275566103
132,,,阿勒泰地区,2005,,,6907.0,,,,2,100.0,100.0,-1.3596457242965698,-0.1709069973945616
133,,,阿拉善盟,2015,,,14169.0,,,,2,100.0,100.0,-0.6924185752868652,1.3643506789207458
134,,,巴音郭楞蒙古自治州,2006,,,27964.0,,,,2,100.0,100.0,0.5750553607940674,1.420183956027031
135,,,大兴安岭地区,2018,,,3929.0,,,,2,100.0,100.0,-1.633262038230896,-0.9263871677105245
136,2.4347,,锡林郭勒盟,2004,,,11891.0,,,,2,100.0,100.0,-0.901719570159912,0.2698482353985311
137,,,海南藏族自治州,2015,,,2605.0,,110.0,,2,10100.0,10100.0,9.78141975402832,9.97501855134964
138,,,阿拉善盟,2014,,,14356.0,,,,2,100.0,100.0,-0.6752371788024902,1.6807344814141594
139,1.8132,,阿坝藏族羌族自治州,2004,,,5016.0,,,,2,100.0,100.0,-1.5333893299102783,-0.7767049369357881
140,,,阿拉善盟,2016,,,14483.0,,,,2,100.0,100.0,-0.6635684967041016,1.9190205649534864
141,1.2547,,海南藏族自治州,2007,,,2639.0,,,,2,100.0,100.0,-1.7517862319946291,-0.29311409190297155
142,0.2454,,黄南藏族自治州,2005,,,1100.0,,,,2,100.0,100.0,-1.8931884765625,-0.27982362225651736
143,6.5087,,甘孜藏族自治州,2011,,,9159.0,,,,2,100.0,100.0,-1.1527336835861206,2.0817661882582166
144,,,和田地区,2008,,,15139.0,,,,2,100.0,100.0,-0.6032956838607788,0.03752888922691344
145,,,克孜勒苏柯尔克孜自治州,2011,,,4274.0,,,,2,100.0,100.0,-1.6015636920928955,-0.6780039613723754
146,,,海南藏族自治州,2016,,,2673.0,,118.0,,2,10100.0,10100.0,10.178787231445312,10.465526643395425
147,1.4018,,甘南藏族自治州,2003,,,2255.0,,,,2,100.0,100.0,-1.7870678901672363,-0.5020926504475729
148,0.6312,,海北藏族自治州,2009,,,2116.0,,,,2,100.0,100.0,-1.7998391389846802,0.20424349546432508
149,,,和田地区,2009,,,15254.0,,,,2,100.0,100.0,-0.5927296876907349,0.6411066271543502
150,,,黄南藏族自治州,2004,,,1119.0,,,,2,100.0,100.0,-1.8914427757263184,-0.18099908471107495
151,,,海西蒙古族藏族自治州,2010,,,18827.0,,,,2,100.0,100.0,-0.2644451856613159,1.816705396771431
152,1.8003,,酒泉市,2002,95.0705,,10574.0,22.0,,96.2,2,101101.0,100101.0,-1.4767508506774902,0.12987434523446217
153,2.0105,,阿坝藏族羌族自治州,2005,,,5250.0,,,,2,100.0,100.0,-1.5118895769119265,-0.6141467513356892
154,,,巴音郭楞蒙古自治州,2009,,,29831.0,,,,2,100.0,100.0,0.7465941905975342,1.9804305054426192
155,,,巴音郭楞蒙古自治州,2007,,,29979.0,,,,2,100.0,100.0,0.7601921558380127,1.8326874670267106
