,stock,register,city,year,PGDP,wage_average,P_baidu_index,DMSP_mean,P_road_area,Built_area,scale,stock_model_chose,pr_stock
1718,0.07547667799999999,0.011821315,开封市,2014,32454.0,35749.43,1023.716779,6.421717576,15.42,2461.27651,2,111111.0,0.12658268650332388
1719,0.012093983,,新乡市,2002,6268.0,7366.04,,6.417291415,,1141.410739,2,101011.0,0.008019163569899552
1720,0.044331898,,淮南市,2011,30400.0,51909.92,685.5161046000002,6.411700975,5.89,4198.78614,2,111111.0,0.11321508644257501
1721,0.011995642,,潮州市,2002,8698.0,9351.57,,6.4085328420000005,,2788.556252,2,101011.0,0.011982546917645526
1722,0.010709089,,连云港市,2004,8891.0,12714.62,,6.398943197,,1494.788164,2,101011.0,0.013347769034971944
1723,0.053406901,,营口市,2006,19810.0,16301.99,,6.393084622000001,6.51,4029.205413,2,111011.0,0.03135098497914764
1724,0.045180619000000005,,温州市,2006,24390.0,23022.69,,6.387393249,9.98,2028.081522,2,111011.0,0.03398777356775903
1725,0.039795301,,沈阳市,2003,23271.0,14961.14,,6.383294482999999,,3796.081875,2,101011.0,0.032146547920002974
1726,0.050535009000000006,,杭州市,2003,32819.0,24666.88,,6.376370207999999,,4297.7261899999985,2,101011.0,0.07443270545928313
1727,0.1936375,,衢州市,2017,61250.0,96843.0,4098.684211,6.373601537000001,,3361.842105,2,101111.0,0.16795424359897929
1728,0.357600713,,南昌市,2011,53023.0,39816.23,1044.6910779999996,6.373368509,11.79,4099.919703000001,2,111111.0,0.09418230887205374
1729,0.063341778,,杭州市,2004,38858.0,28891.25,,6.369970966,,4656.792063,2,101011.0,0.07900492118832612
1730,0.117866776,,鞍山市,2015,64710.0,43652.0,2295.269231,6.365432365,11.36,4728.807692,2,111111.0,0.09870229670762
1731,0.081151142,,马鞍山市,2015,60802.0,60093.0,3683.624818,6.365432365,16.84,4127.435036,2,111111.0,0.1336928777459709
1732,0.092171846,,衡水市,2012,23101.0,32945.4,1006.380198,6.360131162,13.43,1052.124752,2,111111.0,0.08796117475595744
1733,0.044888663,,成都市,2003,18052.0,15274.5,,6.360097663,,3726.241711,2,101011.0,0.0232882516354412
1734,,,石嘴山市,2018,75390.0,67057.0,5101.330476,6.358421182000001,,12815.53754,2,101111.0,0.156783919957076
1735,0.01661415,,潍坊市,2002,10570.0,9845.23,,6.357619612000001,,897.5642457999999,2,101011.0,0.012200701181925786
1736,0.079164947,,阜阳市,2016,17642.0,52718.0,768.6871428999998,6.3548897460000005,,1562.577143,2,101111.0,0.13009268656345419
1737,0.080612221,0.015555988,驻马店市,2017,31101.99,49801.0,1483.764661,6.347693531,,1212.692271,2,101111.0,0.12348868969768044
1738,0.150625346,,自贡市,2019,48904.0,78164.0,1915.121678,6.345096242,,4377.420979,2,101111.0,0.14133062559674198
1739,0.012650651,,徐州市,2004,12005.0,15808.57,,6.344740861,,1058.622727,2,101011.0,0.01792011928911216
1740,0.165439808,,云浮市,2020,42047.0,86847.0,2270.538,6.342182891,,,2,1111.0,0.16412661691668665
1741,0.134089462,,秦皇岛市,2012,37804.0,45686.79,994.8421053,6.342065107000001,21.46,3150.333333,2,111111.0,0.12191465739505931
1742,0.013947985,,安阳市,2002,5978.0,9183.48,,6.340569877999999,,1319.347111,2,101011.0,0.008605706337224465
1743,0.026425086,,石家庄市,2002,13187.0,11167.75,,6.33809118,,1307.618487,2,101011.0,0.01615835174213014
1744,0.049549695,,邢台市,2009,15174.0,25904.94,,6.335880932999999,19.75,1002.056604,2,111011.0,0.04790643350715144
1745,0.016836843,,汕尾市,2013,22560.0,39372.05,67.16736524,6.331336577999999,5.0,537.3389219,2,111111.0,0.05847909562439401
1746,0.041608104,,菏泽市,2009,11649.0,19252.36,,6.32339374,18.85,766.6130199,2,111011.0,0.04144403244596878
1747,0.049600819,,临沂市,2008,19949.31612,24101.49,,6.3191526510000005,15.13,1455.485819,2,111011.0,0.04375692196695442
1748,,,济源市,2010,50491.0,,,6.317485473,,,2,1001.0,0.1778096343004931
1749,0.082751068,,大连市,2008,63198.0,34304.37,,6.307046129,13.13,4224.115026,2,111011.0,0.08554791007509466
1750,,,黄石市,2014,49796.0,37514.79,1469.390164,6.303023662999999,18.48,3591.8426229999995,2,111111.0,0.13675810160689636
1751,,,大庆市,2017,97677.0,74583.0,4009.130597,6.299768792,,9002.320522,2,101111.0,0.20352534001733785
1752,0.030887391,,济宁市,2004,13767.0,13515.3,,6.284732756,,638.2881818,2,101011.0,0.017983163873400907
1753,0.031923349,,芜湖市,2008,33024.05414,28053.37,,6.283813009,15.1,5550.661008,2,111011.0,0.07955756457386567
1754,0.006435616,,揭阳市,2002,7597.0,9366.11,,6.28333963,,463.9706235,2,101011.0,0.010301660482069966
1755,0.07118322099999999,,菏泽市,2014,26446.0,39416.86,988.7468468,6.279654036,9.65,1131.698198,2,111111.0,0.08163147230988316
1756,0.096334773,,秦皇岛市,2010,31182.0,35829.67,,6.2769582910000015,20.28,2982.490323,2,111011.0,0.08677712493266186
1757,,,济源市,2016,73722.41,,,6.269941891,,,2,1001.0,0.14214714763369599
1758,,,济源市,2007,,,,6.268357105,,,2,1000.0,0.09877057618318744
1759,0.235821314,,兰州市,2018,73042.0,85575.0,4254.094505,6.268059973,,6769.093773000001,2,101111.0,0.20980027459689501
1760,,,孝感市,2018,,48481.0,,6.265498652000001,,,2,1010.0,0.10871758429263538
1761,0.024736579,,台州市,2003,18041.0,20997.42,,6.2571566270000005,,1776.844654,2,101011.0,0.03168145397015161
1762,,,保定市,2016,29992.0,54395.0,1370.3241380000004,6.256627592,,1611.63908,2,101111.0,0.1307136277677829
1763,0.229890311,,南宁市,2020,54669.0,97079.0,2080.427061,6.252614423,,3779.442495,2,101111.0,0.16130822399426642
1764,0.089834303,,菏泽市,2016,29904.0,50979.0,992.90625,6.249176277,,1460.15625,2,101111.0,0.12563410355790505
1765,,,乌鲁木齐市,2016,69565.0,73254.0,3478.25,6.239876047999999,,12329.4065,2,101111.0,0.18665279190837109
1766,0.072421551,,南昌市,2010,43961.0,35037.98,,6.235490142000001,10.98,4156.312727,2,111011.0,0.0950234495763838
1767,0.062450408,,咸阳市,2015,43426.0,45309.0,1588.265741,6.234359867999999,10.59,1809.416667,2,111111.0,0.10110895496956998
1768,,,长治市,2017,42887.0,57750.0,2926.747973,6.2234612910000005,,1709.684459,2,101111.0,0.1356139397531823
1769,0.030982675,,台州市,2004,21177.0,24881.9,,6.220722892,,2027.2,2,101011.0,0.03886012030261627
1770,0.03664063,,邢台市,2007,12978.0,18189.96,,6.219790829,17.17,1019.88361,2,111011.0,0.04357994555176643
1771,0.02429003,,泰安市,2005,15547.0,13379.58,,6.217015234,11.85,1689.772807,2,111011.0,0.03612643243017
1772,0.139516002,,遂宁市,2019,42113.0,59290.0,1247.792593,6.214781467000001,,2651.559259,2,101111.0,0.14371950379335455
1773,,,朔州市,2018,59914.0,66523.0,3527.646729,6.212868027000001,,2015.798131,2,101111.0,0.13281484695648138
1774,0.042008389000000014,,漳州市,2011,36641.0,34899.95,331.2180791,6.205330192000001,14.17,1097.159887,2,111111.0,0.11278472898403694
1775,0.056096097,0.009990355,周口市,2013,20359.0,36536.1,250.2223464,6.197962762,13.36,716.5458100999998,2,111111.0,0.07899563406847523
1776,0.07482589099999999,,大连市,2007,51630.0,28270.5,,6.195814324,11.79,4255.763578,2,111011.0,0.08506564402851235
1777,0.040668414,,德州市,2005,15097.0,10778.71,,6.194851523,15.37,762.2639241,2,111011.0,0.049569993318542005
1778,0.019794019,,汕尾市,2014,23928.0,44812.56,400.4724732,6.187570198,4.93,533.9632976,2,111111.0,0.08116969374402608
1779,0.224802276,,兰州市,2020,66680.0,93847.0,2514.920415,6.183580732999999,,5422.076125,2,101111.0,0.20133237247861935
1780,0.014162609,,日照市,2003,11220.0,10226.81,,6.178084715,,1799.9807489999996,2,101011.0,0.02583253465944933
1781,0.010941433,,揭阳市,2005,7533.0,11651.3,,6.171514922999999,3.89,501.6047623,2,111011.0,0.026431780159910056
1782,,,孝感市,2020,51367.0,71857.0,1759.143836,6.163766977000001,,2275.159361,2,101111.0,0.15695793277846082
1783,0.04008784,,德州市,2004,12542.0,9303.15,,6.160528346,,730.3537633,2,101011.0,0.025807271795686117
1784,0.094971505,,大连市,2009,70781.0,38765.37,,6.15591281,13.53,4198.045517000001,2,111011.0,0.10704932346906065
1785,0.00941007,,连云港市,2003,7536.0,11261.97,,6.1531043589999985,,1376.443943,2,101011.0,0.02040011790411417
1786,,,保定市,2015,29067.0,50477.0,1472.7279999999996,6.1501352570000005,13.74,2199.403,2,111111.0,0.12554710093751678
1787,0.106915574,,鞍山市,2014,66860.0,43038.43,1342.794979,6.148224117000001,9.78,4755.732218,2,111111.0,0.10224604062482634
