,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
5726,,22.6588,,2010,0.018230997633004946,0.0138068604059921,87563.0,65.0,,504.65,2,泰州市,1111.0,101111.0,42.22187668224228
5727,,110.4557,,2016,0.04288734608697415,0.026283881566081278,125370.0,204.0,116.0,445.0,2,绍兴市,11111.0,111111.0,93.49401198461945
5728,,23.3283,,2018,0.008065367838380019,0.00505534478038096,80903.0,33.0,77.0,356.0,2,汕尾市,11111.0,111111.0,17.688209426693007
5729,,309.8568,,2018,0.07492260174249617,0.1036492353424336,152937.0,702.0,356.0,987.0,2,西安市,11111.0,111111.0,217.6573723003491
5730,,35.914,,2009,0.022460371272919367,0.02745726913599562,66254.0,134.0,,359.82,2,常州市,1111.0,101111.0,61.847967661753586
5732,,68.2196,,2012,0.04081765260361177,0.03288418664684945,149874.0,156.0,36.0,765.2,2,南通市,11111.0,111111.0,96.38667947798652
5734,,41.9436,,2013,0.029029398415765177,0.02276371885633825,100330.0,132.0,30.0,459.8,2,扬州市,11111.0,111111.0,67.96328499036417
5735,,46.1484,,2019,0.011751957163348804,0.01924355614659522,84036.0,180.0,60.0,231.0,2,营口市,11111.0,111111.0,36.950142812170725
5736,,285.8459,,2020,0.14466227346448934,0.0984863300348105,258507.0,,299.0,,2,杭州市,10111.0,10111.0,324.6114273692385
5737,,172.3204,,2014,0.0779821486309449,0.0773164626276059,172456.0,491.0,130.0,780.6,2,青岛市,11111.0,111111.0,197.78321554117582
5738,,25.5721,,2018,0.007610104561778652,0.013689521649000665,72552.0,107.0,84.0,175.0,2,辽阳市,11111.0,111111.0,25.083164415682916
5740,,13.2673,,2005,0.010222183719124438,0.009035084288340439,70944.0,102.0,,334.33,2,嘉兴市,1111.0,101111.0,24.89118092408986
5741,6.4482,64.9222,,2019,0.02102058450188467,0.0073825634607110726,96772.0,177.0,87.0,561.0,2,开封市,11111.0,111111.0,40.64902776372431
5742,,104.0908,,2017,0.03424862546076596,0.027770172487972776,177966.0,270.0,143.0,369.0,2,惠州市,11111.0,111111.0,81.04231869048844
5743,,75.429,,2018,0.03253887867016225,0.03266906559236516,92512.0,198.0,145.0,257.0,2,威海市,11111.0,111111.0,82.91103210839233
5745,,29.0022,,2017,0.00887238362127941,0.005074901239879533,50558.0,83.0,70.0,276.0,2,潮州市,11111.0,111111.0,19.000486814979595
5746,,28.2381,,2011,0.021560504541022683,0.016231861383815074,89846.0,67.0,32.0,507.1,2,泰州市,11111.0,111111.0,49.84197468947549
5748,2.9748,22.6772,,2017,0.007231476635665801,0.008272382367896116,33192.0,64.0,81.0,170.0,2,鹤壁市,11111.0,111111.0,19.378519496366614
5749,,264.4507,,2019,0.041177599296370444,0.0526068760511597,267046.0,235.0,149.0,1190.0,2,临沂市,11111.0,111111.0,115.52307856146894
5751,9.2127,54.3159,,2007,0.02219041125335036,0.02774083779872492,117131.0,321.0,,707.01,2,郑州市,1111.0,101111.0,61.681987145492464
5756,,126.0659,,2017,0.04153754598912912,0.04898893104392381,175860.0,222.0,147.0,883.0,2,济宁市,11111.0,111111.0,112.695642414279
5757,,412.5,,2016,0.10956747092051858,0.09376344506590527,225151.0,837.0,316.0,1399.0,2,成都市,11111.0,111111.0,263.90023958665125
5758,,34.0829,,2012,0.024080131390333402,0.01693589392576368,90954.0,70.0,31.0,506.4,2,泰州市,11111.0,111111.0,54.544152653720566
5759,,49.2955,,2010,0.011931930509728142,0.008360386435639692,100991.0,59.0,,419.02,2,廊坊市,1111.0,101111.0,26.99748921529801
5760,,141.3774,,2018,0.04414715951162951,0.05257754136191184,176522.0,240.0,180.0,891.0,2,济宁市,11111.0,111111.0,120.25651900904353
5761,,71.1206,,2019,0.017331130901108258,0.0194000078225838,85651.0,116.0,75.0,308.0,2,日照市,11111.0,111111.0,46.04235903328069
5762,,121.3677,,2019,0.030469185186799874,0.025286502131654086,191848.0,179.0,118.0,1026.0,2,菏泽市,11111.0,111111.0,72.6456416294672
5763,8.0296,65.1417,,2018,0.025249958141799096,0.017503031251222278,78960.0,118.0,147.0,509.0,2,许昌市,11111.0,111111.0,56.953399213167444
5764,,88.22399999999998,,2019,0.02812953168386849,0.02204012985489107,153842.0,158.0,117.0,400.0,2,江门市,11111.0,111111.0,65.83963765601743
5765,,124.0771,,2013,0.08122166886577296,0.0817068877850354,136246.0,534.0,95.0,822.1,2,武汉市,11111.0,111111.0,207.10852873205525
5767,,36.3248,,2006,0.024710038102661085,0.07227089607697422,104760.0,575.0,,607.23,2,南京市,1111.0,101111.0,107.62501534177508
5768,2.4357,30.6798,,2020,0.008611422269029369,0.010149802479759065,34001.0,65.0,67.0,,2,鹤壁市,11111.0,11111.0,23.357638886414172
5769,,104.0683,,2020,0.0223703845997297,0.021717448273164627,145112.0,140.0,93.0,,2,滨州市,11111.0,11111.0,56.3024488019269
5770,,69.8126,,2012,0.01589134413007356,0.008634176868619704,102195.0,64.0,27.0,433.2,2,廊坊市,11111.0,111111.0,33.60318919792427
5773,,343.0559,,2019,0.08365130904189402,0.11501153831110415,161284.0,701.0,213.0,957.0,2,西安市,11111.0,111111.0,242.34403071015043
5774,,221.0554,,2016,0.08977040281879149,0.07877341886024954,179714.0,599.0,156.0,791.0,2,青岛市,11111.0,111111.0,218.05413494946188
5775,,64.2262,,2016,0.02030069111636732,0.024064223412993312,93360.0,106.0,96.0,265.0,2,湖州市,11111.0,111111.0,55.192490268757545
5776,7.7148,45.5262,,2006,0.01787105094024627,0.02709547463527203,120637.0,282.0,,691.62,2,郑州市,1111.0,101111.0,54.149536140339215
5777,,96.2527,,2020,0.028579465049816833,0.030752532561505064,155661.0,158.0,115.0,,2,江门市,11111.0,11111.0,74.75949035000028
5781,,173.533,,2020,0.04018774589128409,0.05589236124691986,180492.0,246.0,129.0,,2,济宁市,11111.0,11111.0,117.02774719133421
5782,,65.9118,,2020,0.033528732075248605,0.04618257910587867,96953.0,249.0,91.0,,2,芜湖市,11111.0,11111.0,97.21443592356064
5783,,12.8576,,2008,0.012471850548866154,0.015596276450111472,61781.0,98.0,,268.77,2,镇江市,1111.0,101111.0,34.67219868270777
5784,,55.3092,,2015,0.018500957652573948,0.022949505221574688,94145.0,103.0,82.0,263.71,2,湖州市,11111.0,111111.0,51.2580445308738
5785,,194.6223,,2015,0.08347133569551468,0.07762936597958306,181716.0,566.0,169.0,783.09,2,青岛市,11111.0,111111.0,206.87838070476135
5786,,27.5223,,2019,0.007261622171184341,0.013904642703484961,76350.0,107.0,45.0,174.0,2,辽阳市,11111.0,111111.0,24.726880259918282
5788,20.9612,96.301,,2010,0.036138345597749,0.0308698713184965,122467.0,343.0,,963.0,2,郑州市,1111.0,101111.0,86.98893065787703
