,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
1920,,11.4843,,2007,0.0020989472509496073,166.0,0.011629815325417582,20.0,,299.81,2,忻州市,1111.0,101111.0,12.154221405138005
1922,,4.5572,,2009,0.001544803018380505,243.0,0.004251420020865909,32.0,,273.49,2,安顺市,1111.0,101111.0,5.827998777135206
1923,,2.9929,,2007,0.0019914842659597733,150.0,0.0061575176044741985,20.0,,250.15,2,来宾市,1111.0,101111.0,8.002916624742372
1924,,5.3617,,2005,0.002842677206328168,323.0,0.008502476143758621,57.0,,318.66,2,韶关市,1111.0,101111.0,11.215911081655083
1925,,42.9793,,2016,0.016161304149642567,1494.0,0.010520654303111728,78.0,72.0,782.0,2,上饶市,11111.0,111111.0,36.399104867810024
1926,,6.0246,,2008,0.002626241259972377,320.0,0.010415487788857663,79.0,,190.84,2,鸡西市,1111.0,101111.0,12.214705193044761
1927,,5.3089,,2005,0.0036499170560438006,685.0,0.006227022117354913,52.0,,605.55,2,安庆市,1111.0,101111.0,11.007168791185004
1928,,8.3539,,2014,0.004744116307760699,618.0,0.006165159461911345,37.0,4.0,266.4,2,来宾市,11111.0,111111.0,12.91136235819453
1929,,17.9996,,2010,0.009682263679986427,699.0,0.012809572554523743,63.0,,518.96,2,桂林市,1111.0,101111.0,26.51512793149157
1930,,2.7209,,2005,0.0011031178308967267,294.0,0.010613812184250277,64.0,,150.22,2,双鸭山市,1111.0,101111.0,9.645270351559333
1932,,9.0334,,2006,0.004830544008025716,907.0,0.009389295504440828,80.0,,533.3,2,绵阳市,1111.0,101111.0,15.398372375540546
1934,,11.7815,,2006,0.0029904047282367195,387.0,0.007138586540214547,42.0,,686.73,2,六安市,1111.0,101111.0,10.49209407737287
1935,,35.8546,,2015,0.0146315307054182,1433.0,0.010566869345707806,77.0,67.0,774.4,2,上饶市,11111.0,111111.0,33.70775497754386
1936,,51.0549,,2007,0.005636648225925696,633.0,0.013453671967083245,34.0,,603.04,2,曲靖市,1111.0,101111.0,19.775270751869698
