,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
396,,1.3096,,2003,0.0005374939984288182,170.0,8221.0,0.0026169950738916255,,126.81,2,张掖市,1111.0,101111.0,2.260810988537519
399,,19.4,,2018,0.005154918069005783,611.0,36149.0,0.007543103448275862,60.0,99.0,2,酒泉市,11111.0,111111.0,14.098452472698575
400,,2.7396,,2007,0.0011032681086409536,226.0,8349.0,0.0033866995073891628,,128.72,2,张掖市,1111.0,101111.0,3.783040175349478
402,,2.2415,,2005,0.0009446072059398576,248.0,2680.0,0.0016933497536945814,,362.96,2,巴中市,1111.0,101111.0,2.717863268300457
403,,1.5415,,2004,0.0006777076331260324,177.0,8429.0,0.0026169950738916255,,126.46,2,张掖市,1111.0,101111.0,2.555651947481734
404,,2.1792,,2005,0.0007806748839233107,196.0,8431.0,0.002770935960591133,,127.08,2,张掖市,1111.0,101111.0,2.838675379799719
406,,8.605,,2007,0.004328409372960047,269.0,55474.0,0.00354064039408867,,270.56,2,呼伦贝尔市,1111.0,101111.0,10.63136506444347
409,,2.438,,2006,0.0009238985728387191,206.0,8582.0,0.003232758620689655,,127.15,2,张掖市,1111.0,101111.0,3.339358166388532
410,,6.5245,,2003,0.0007576742902560313,232.0,2759.0,0.001539408866995074,,356.06,2,巴中市,1111.0,101111.0,2.2582769988019145
411,,1.8062,,2002,0.0005968492080647238,,5289.0,0.0033866995073891628,,293.24,2,安康市,1101.0,101101.0,2.7181434939689115
412,,4.681,,2004,0.0005800100019107408,83.0,9957.0,0.001539408866995074,,254.9,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,1.8846848780428649
413,,7.5154,,2004,0.0009054765011033302,245.0,2766.0,0.0016933497536945814,,361.09,2,巴中市,1111.0,101111.0,2.6355792981068364
418,,4.0255,,2009,0.0019282569297765166,269.0,2791.0,0.0018472906403940886,,401.18,2,巴中市,1111.0,101111.0,4.852784095882616
419,,2.2662,,2003,0.0007160005620351638,312.0,5393.0,0.0033866995073891628,,294.06,2,安康市,1111.0,101111.0,2.9686947298741035
423,,3.5876,,2003,0.0011458875967970445,235.0,15116.0,0.0021551724137931034,,176.13,2,巴彦淖尔市,1111.0,101111.0,3.3406275750682237
424,,2.9535,,2003,0.0008748720335515237,59.0,5264.0,0.0018472906403940886,,507.27,2,昭通市,1111.0,101111.0,2.6377283802882214
426,,3.2407,,2007,0.0014723502484618432,253.0,7684.0,0.003078817733990148,,188.6,2,武威市,1111.0,101111.0,4.426137188410733
427,,91.29,,2016,0.004890871973598803,216.0,10516.0,0.0033866995073891628,0.0,251.0,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,11.74760623239909
429,,20.48,,2019,0.005344906032244399,612.0,40473.0,0.007543103448275862,38.0,99.0,2,酒泉市,11111.0,111111.0,14.497958793108118
431,,0.8886,,2003,0.0005937059735702086,209.0,7868.0,0.0026169950738916255,,187.1,2,武威市,1111.0,101111.0,2.379013420780474
432,,2.4797,,2007,0.0007898355272540189,1.0,6785.0,0.0003078817733990148,,275.75,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,1.793872808280571
433,,86.19,,2014,0.004075603512901187,265.0,10795.0,0.003078817733990148,0.0,253.8,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,9.900253101028204
434,,5.2846,,2005,0.0007426357174325738,84.0,10797.0,0.0021551724137931034,,256.56,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,2.4926703056869206
436,,0.9007,,2004,0.0007557800707853888,226.0,7948.0,0.0026169950738916255,,187.18,2,武威市,1111.0,101111.0,2.7198225178852864
437,,2.9478,,2004,0.0008594753137687716,317.0,5781.0,0.0033866995073891628,,294.97,2,安康市,1111.0,101111.0,3.270393159393957
439,,3.7992,,2004,0.0010945591984096574,61.0,5527.0,0.0018472906403940886,,524.35,2,昭通市,1111.0,101111.0,3.0996861242293305
440,,2.9826,,2005,0.0010598423398930832,247.0,7983.0,0.003078817733990148,,187.18,2,武威市,1111.0,101111.0,3.558716358780802
443,,2.3802,,2006,0.0010982657494783398,260.0,3068.0,0.0016933497536945814,,370.45,2,巴中市,1111.0,101111.0,3.040976155465043
446,,1.3112,,2002,0.0016110467078490796,,14763.0,0.003694581280788177,,306.92,2,通辽市,1101.0,101101.0,4.983804222691819
447,,2.911,,2008,0.0017073063520267999,265.0,3088.0,0.0016933497536945814,,398.57,2,巴中市,1111.0,101111.0,4.321665552606232
451,,6.4479,,2002,0.0016321845773813325,,22129.0,0.005387931034482759,,444.3,2,赤峰市,1101.0,101101.0,5.759797962469132
452,,3.0643,,2006,0.0012381149381491356,251.0,8252.0,0.003078817733990148,,187.23,2,武威市,1111.0,101111.0,3.933587632439722
454,,94.51,,2015,0.004409153514946405,216.0,11323.0,0.0033866995073891628,0.0,249.97,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,10.73464959236254
455,,10.1586,,2008,0.005476826495140453,277.0,64389.0,0.00354064039408867,,272.48,2,呼伦贝尔市,1111.0,101111.0,13.046254360358382
456,,3.0752,,2008,0.0013122063653865812,232.0,9864.0,0.00354064039408867,,129.56,2,张掖市,1111.0,101111.0,4.288899233329446
