,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
554,,2.3739,,2005,0.0004253670041675636,0.0007333672311964642,6256.0,22.0,,291.58,2,定西市,1111.0,101111.0,1.3376829430239194
555,,18.3739,,2006,0.0022874495342138615,0.003256150506512301,20786.0,32.0,,179.41,2,巴彦淖尔市,1111.0,101111.0,6.576349263973917
557,,11.3,,2014,0.003039241395643485,0.006023389525560293,12288.0,64.0,13.0,129.7,2,张掖市,11111.0,111111.0,10.260957536039298
558,,3.6255,,2004,0.0014320722135421475,0.0027770172487972776,17393.0,30.0,,271.62,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,4.779999634948217
559,,36.396,,2008,0.0014022020372435689,0.0007138107716978918,14168.0,20.0,,258.1,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,2.880432707716744
560,,16.027,,2011,0.010132197045934769,0.0029334689247858567,80555.0,28.0,9.0,270.4,2,呼伦贝尔市,11111.0,111111.0,18.817172326725895
563,,3.1748,,2006,0.0011986458834214151,0.0008995971369343295,7628.0,27.0,,297.15,2,安康市,1111.0,101111.0,2.722046298370514
564,,10.7126,,2004,0.0008778784883027907,0.0015254038408886454,4866.0,14.0,,153.4,2,雅安市,1111.0,101111.0,2.7713832718036135
568,,5.4612,,2004,0.0022770848691958754,0.0029725818437830016,19176.0,33.0,,310.91,2,通辽市,1111.0,101111.0,6.305273361069581
570,,15.3067,,2010,0.008170611752008995,0.0028650213165408536,82378.0,28.0,,271.3,2,呼伦贝尔市,1111.0,101111.0,15.622487556904979
572,,1.7727,,2005,0.0009217334934817757,0.001799194273868659,4937.0,16.0,,154.32,2,雅安市,1111.0,101111.0,3.0871768775742217
573,,1.7082,,2003,0.00015631944946470095,0.000518246176712168,6792.0,18.0,,111.88,2,丽江市,1111.0,101111.0,0.7148476760886503
577,,4.2728,,2008,0.001886487815682068,0.004488207454922361,7836.0,29.0,,301.87,2,安康市,1111.0,101111.0,7.041738506744315
581,,1.7504,,2006,0.0010047255025644112,0.001760081354871514,22413.0,19.0,,173.49,2,黑河市,1111.0,101111.0,3.1846341196402
582,,2.6179,,2005,0.0016460866185224047,0.0013102827864043493,11221.0,16.0,,382.78,2,河池市,1111.0,101111.0,3.8053610719797355
583,,16.085,,2006,0.00154407952552806,0.0010658270426721946,7585.0,17.0,,536.56,2,昭通市,1111.0,101111.0,3.423010574868152
588,,9.471,,2008,0.0010619903217821208,0.004243751711190206,10189.0,59.0,,47.72,2,拉萨市,1111.0,101111.0,5.505350914938557
589,,5.3797,,2009,0.002257868215136222,0.004517542144170219,8084.0,29.0,,303.57,2,安康市,1111.0,101111.0,7.661275746292748
596,,9.6468,,2009,0.0012530113320289536,0.002845464857042281,10291.0,,,51.53,2,拉萨市,111.0,100111.0,4.555420854727103
597,,2.3115,,2004,0.0002370644913177906,0.0004400203387178785,7136.0,17.0,,112.73,2,丽江市,1111.0,101111.0,0.7736095684979833
598,,1.5052,,2004,0.0013534400587755513,0.0012222787186607737,11631.0,15.0,,383.0,2,河池市,1111.0,101111.0,3.258926352318067
599,,5.12,,2010,0.0016977551665344484,0.0031290335197715806,13387.0,34.0,,130.83,2,张掖市,1111.0,101111.0,5.52033251534212
605,,24.5638,,2007,0.0029795829309189298,0.004038408886455196,22837.0,32.0,,182.3,2,巴彦淖尔市,1111.0,101111.0,8.384022162742363
606,,9.9311,,2005,0.001855279537553159,0.0028650213165408536,19099.0,35.0,,272.52,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,5.534979637541813
616,,3.8269,,2007,0.0012803771792126637,0.001760081354871514,24143.0,19.0,,173.97,2,黑河市,1111.0,101111.0,3.6249337549958955
617,,13.952,,2005,0.0029113361381051537,0.0031779246685180113,31438.0,64.0,,445.3,2,赤峰市,1111.0,101111.0,7.502673562024288
618,,7.6951,,2007,0.0008807571619781281,0.004175304102945203,10754.0,,,62.23,2,拉萨市,111.0,100111.0,5.154430438482856
619,,6.903,,2015,0.005379379926743361,0.0018187507333672311,7102.0,26.0,31.0,251.01,2,商洛市,11111.0,111111.0,10.224948258519406
620,,5.1560000000000015,,2010,0.00231152186915883,0.0009876012046779051,4459.0,18.0,,388.01,2,巴中市,1111.0,101111.0,4.57863708732575
621,,4.6775,,2009,0.0010645999353046211,0.00061602847420503,10128.0,8.0,,279.17,2,陇南市（2004年前为陇南地区）,1111.0,101111.0,2.253413738053861
625,,3.1227,,2006,0.002023425935475178,0.0013493957054014941,12216.0,16.0,,389.16,2,河池市,1111.0,101111.0,4.4431930814093334
629,,2.1709,,2003,0.0005908344988287261,0.002728126100050847,9973.0,12.0,,255.76,2,庆阳市,1111.0,101111.0,3.392404109914424
630,,8.9671,,2006,0.002349133598951916,0.0031192552900222944,20029.0,35.0,,278.16,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,6.552005585283153
632,,51.42,,2010,0.002016122617079105,0.002649900262056557,16297.0,24.0,,254.6,2,普洱市（2007年前为思茅市、思茅地区）,1111.0,101111.0,5.598810571209075
633,,5.4451,,2003,0.0022259436430887227,0.0026107873430594127,32027.0,23.0,,135.97,2,鄂尔多斯市,1111.0,101111.0,5.898852359774041
634,,2.7775,,2006,0.0005107895532930522,0.0008507059881878985,7240.0,22.0,,293.01,2,定西市,1111.0,101111.0,1.5794475334664622
635,,2.1334,,2003,0.0010729893928460939,0.0011538311104157704,12369.0,15.0,,381.0,2,河池市,1111.0,101111.0,2.7495253169949923
637,,7.7467,,2016,0.006076479687941767,0.0013298392459029217,7247.0,26.0,41.0,253.0,2,商洛市,11111.0,111111.0,10.899600535006426
638,,20.9362,,2013,0.01265182389524549,0.0069914342707396255,93229.0,114.0,5.0,253.2,2,呼伦贝尔市,11111.0,111111.0,26.48405774705613
640,,7.01,,2011,0.0022390214063033776,0.003138811749520867,12061.0,30.0,18.0,192.0,2,武威市,11111.0,111111.0,6.3936760252300875
642,,5.768,,2010,0.0018423331548813612,0.0037255055344780383,12107.0,27.0,,191.26,2,武威市,1111.0,101111.0,6.286638021990001
645,,26.2415,,2008,0.0037346845021884686,0.004527320373919505,24604.0,32.0,,185.0,2,巴彦淖尔市,1111.0,101111.0,10.028977461015744
646,,61.593,,2011,0.002494037339055776,0.001906754801110807,16752.0,24.0,0.0,256.1,2,普洱市（2007年前为思茅市、思茅地区）,11111.0,111111.0,5.695166937002093
649,,3.7458,,2007,0.002657084192208136,0.0013885086243986388,12755.0,17.0,,396.99,2,河池市,1111.0,101111.0,5.49044446057484
655,,16.2342,,2012,0.011841943836538473,0.004673993820158798,96239.0,28.0,5.0,266.4,2,呼伦贝尔市,11111.0,111111.0,23.110386920744578
659,,5.7898,,2005,0.0007792719916882837,0.0019556459498572378,3654.0,19.0,,160.12,2,张家界市,1111.0,101111.0,3.0000475303275183
660,,8.5444,,2005,0.0027471554528706033,0.0031681464387687255,22623.0,40.0,,309.34,2,通辽市,1111.0,101111.0,7.23165046671973
661,,3.5661,,2007,0.0006845241236201498,0.0010560488129229084,7536.0,22.0,,296.12,2,定西市,1111.0,101111.0,2.041262386541413
662,,3.2812,,2006,0.001123713980656378,0.0018676418821136622,5763.0,19.0,,152.61,2,雅安市,1111.0,101111.0,3.4712371512804268
663,,6.37,,2011,0.0020949257465247614,0.003256150506512301,14820.0,36.0,11.0,130.9,2,张掖市,11111.0,111111.0,6.268830171227831
664,,20.8482,,2007,0.0018236690189950922,0.0011244964211679117,8656.0,22.0,,545.97,2,昭通市,1111.0,101111.0,3.922259490874952
666,,10.554,,2006,0.003635239329779834,0.0037255055344780383,33618.0,72.0,,450.21,2,赤峰市,1111.0,101111.0,9.15045493989728
667,,24.533,,2008,0.002233887666597907,0.001857863652364376,8685.0,22.0,,549.52,2,昭通市,1111.0,101111.0,5.235745897339408
668,,9.118,,2008,0.003695327930802235,0.003676614385731607,21116.0,35.0,,287.11,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,9.2025519027905
669,,8.21,,2007,0.002879277485914602,0.0033148198850080184,21196.0,35.0,,284.26,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,7.574338042462152
670,,5.6311,,2009,0.0032281612170713386,0.0015156256111393594,13043.0,18.0,,409.55,2,河池市,1111.0,101111.0,6.516723645652002
671,,3.2288,,2003,0.0020299211735460084,0.0003911291899714476,10762.0,31.0,,492.92,2,怀化市,1111.0,101111.0,3.5934646077712764
674,,77.99,,2016,0.004740350365487711,0.002483670356318692,9275.0,22.0,5.0,237.0,2,临沧市（2003年前为临沧地区）,11111.0,111111.0,9.801029933365683
677,,2.4978,,2004,0.0007583410915043669,0.0030214729925294326,10705.0,13.0,,256.69,2,庆阳市,1111.0,101111.0,3.9232600696910906
679,,2.4982,,2006,0.0008110174902561349,0.001799194273868659,7782.0,24.0,,242.74,2,商洛市,1111.0,101111.0,2.910329718721293
681,,8.429,,2003,0.000720293826213043,0.003256150506512301,6496.0,54.0,,304.08,2,广元市,1111.0,101111.0,4.073124559634969
683,,10.8426,,2012,0.0042174522054502575,0.0016231861383815074,13336.0,19.0,5.0,411.6,2,河池市,11111.0,111111.0,8.193464704341013
684,,10.1243,,2009,0.0042831532752794985,0.0036961708452301796,21715.0,35.0,,289.72,2,乌兰察布市（2003年前为乌兰察布盟）,1111.0,101111.0,10.159041040138929
