,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
126,8.3,,甘孜藏族自治州,2016,,,8491.0,,,,2,100.0,100.0,5.8441737778587814
127,,,和田地区,2007,,,14122.0,,,,2,100.0,100.0,9.7829580439417
128,,,海北藏族自治州,2015,,,1971.0,,,,2,100.0,100.0,1.2835498363100974
129,3.4,,锡林郭勒盟,2003,,,11523.0,,,,2,100.0,100.0,7.965003807118844
130,,,神农架林区,2002,,,188.0,,,,2,100.0,100.0,0.03637307438044963
131,,,黄南藏族自治州,2003,,,1049.0,,,,2,100.0,100.0,0.6386272482567406
132,,,阿勒泰地区,2005,,,6907.0,,,,2,100.0,100.0,4.7361939736543155
133,,,阿拉善盟,2015,,,14169.0,,,,2,100.0,100.0,9.81583370732403
134,,,巴音郭楞蒙古自治州,2006,,,27964.0,,,,2,100.0,100.0,19.465190651137544
135,,,大兴安岭地区,2018,,,3929.0,,,,2,100.0,100.0,2.653135983173951
136,2.4347,,锡林郭勒盟,2004,,,11891.0,,,,2,100.0,100.0,8.222413256580488
137,,,海南藏族自治州,2015,,,2605.0,,110.0,,2,10100.0,10100.0,59.266267528971156
138,,,阿拉善盟,2014,,,14356.0,,,,2,100.0,100.0,9.946636878653726
139,1.8132,,阿坝藏族羌族自治州,2004,,,5016.0,,,,2,100.0,100.0,3.413473134165273
140,,,阿拉善盟,2016,,,14483.0,,,,2,100.0,100.0,10.035471118005978
141,1.2547,,海南藏族自治州,2007,,,2639.0,,,,2,100.0,100.0,1.7508039456589504
142,0.2454,,黄南藏族自治州,2005,,,1100.0,,,,2,100.0,100.0,0.6743008404375661
143,6.5087,,甘孜藏族自治州,2011,,,9159.0,,,,2,100.0,100.0,6.311427887207634
144,,,和田地区,2008,,,15139.0,,,,2,100.0,100.0,10.494331440959343
145,,,克孜勒苏柯尔克孜自治州,2011,,,4274.0,,,,2,100.0,100.0,2.8944573420442414
146,,,海南藏族自治州,2016,,,2673.0,,118.0,,2,10100.0,10100.0,63.50427508680741
147,1.4018,,甘南藏族自治州,2003,,,2255.0,,,,2,100.0,100.0,1.4822027810033223
148,0.6312,,海北藏族自治州,2009,,,2116.0,,,,2,100.0,100.0,1.384974755255582
149,,,和田地区,2009,,,15254.0,,,,2,100.0,100.0,10.574771893916106
150,,,黄南藏族自治州,2004,,,1119.0,,,,2,100.0,100.0,0.6875910022304228
151,,,海西蒙古族藏族自治州,2010,,,18827.0,,,,2,100.0,100.0,13.074021793172768
152,1.8003,,酒泉市,2002,95.0705,,10574.0,22.0,,96.2,2,1101.0,101101.0,3.0844614746616097
153,2.0105,,阿坝藏族羌族自治州,2005,,,5250.0,,,,2,100.0,100.0,3.577151968877296
154,,,巴音郭楞蒙古自治州,2009,,,29831.0,,,,2,100.0,100.0,20.77112391783561
155,,,巴音郭楞蒙古自治州,2007,,,29979.0,,,,2,100.0,100.0,20.874647283379968
156,,,海北藏族自治州,2017,,,2205.0,,,,2,100.0,100.0,1.4472286710221207
157,8.0,,甘孜藏族自治州,2015,,,9613.0,,,,2,100.0,100.0,6.628992805836945
158,,,海北藏族自治州,2018,,,2209.0,,,,2,100.0,100.0,1.450026599820617
159,,,大兴安岭地区,2017,,,4248.0,,,,2,100.0,100.0,2.8762708048540166
160,5.5322,,阿坝藏族羌族自治州,2008,,,5346.0,,,,2,100.0,100.0,3.6443022600412034
161,0.3929,,神农架林区,2009,,,210.0,,,,2,100.0,100.0,0.05176168277217832
162,1.1366,,甘南藏族自治州,2005,,,2394.0,,,,2,100.0,100.0,1.5794308067510627
163,7.4,,甘孜藏族自治州,2014,,,9811.0,,,,2,100.0,100.0,6.767490281362503
