,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register
186,5.3088,,阿克苏地区,2002,,,9418.0,,,,2,100.0,100.0,0.8341920280786015
187,,,神农架林区,2003,,,241.0,,,,2,100.0,100.0,0.009436561403604089
188,,,神农架林区,2007,,,241.0,,,,2,100.0,100.0,0.009436561403604089
189,,,神农架林区,2019,,,241.0,,,,2,100.0,100.0,0.009436561403604089
190,,,海北藏族自治州,2019,,,2564.0,,,,2,100.0,100.0,0.2182092484566736
191,,,阿勒泰地区,2007,,,8778.0,,,,2,100.0,100.0,0.7766739395233003
192,,,神农架林区,2018,,,244.0,,,,2,100.0,100.0,0.009706177443707062
193,2.5895,,酒泉市,2003,106.6855,302.0,12764.0,22.0,,91.84,2,1111.0,101111.0,0.4978486622742011
194,1.8093,,甘南藏族自治州,2008,,,2834.0,,,,2,100.0,100.0,0.24247469206594127
195,1.6119999999999999,,甘南藏族自治州,2007,,,2869.0,,,,2,100.0,100.0,0.24562021253380928
196,,,海北藏族自治州,2011,,,2695.0,,,,2,100.0,100.0,0.2299824822078368
197,,,神农架林区,2004,,,257.0,,,,2,100.0,100.0,0.010874513617486618
198,6.6723,,甘孜藏族自治州,2013,,,11965.0,,,,2,100.0,100.0,1.0630960461260264
199,5.8,,锡林郭勒盟,2005,,,16003.0,,,,2,100.0,100.0,1.4259992361046294
200,,,海北藏族自治州,2010,,,2764.0,,,,2,100.0,100.0,0.2361836511302052
201,2.38,,酒泉市,2004,122.2504,303.0,13608.0,22.0,,92.53,2,1111.0,101111.0,0.5536089847175193
202,,,克孜勒苏柯尔克孜自治州,2014,,,5775.0,,,,2,100.0,100.0,0.5067882833802234
203,,,神农架林区,2020,,,268.0,,,,2,100.0,100.0,0.011863105764530856
204,,,海西蒙古族藏族自治州,2016,,,25011.0,,,,2,100.0,100.0,2.2355663325204924
205,6.97,,阿拉善盟,2012,,,20028.0,,,,2,100.0,100.0,1.787734089909453
206,0.2666,,神农架林区,2006,,,274.0,,,,2,100.0,100.0,0.012402337844736804
207,5.6424,,阿拉善盟,2013,,,20317.0,,,,2,100.0,100.0,1.813707101772706
208,,,海南藏族自治州,2010,,,3742.0,,,,2,100.0,100.0,0.3240784802037747
209,,,黄南藏族自治州,2008,,,1560.0,,,,2,100.0,100.0,0.12797774703554496
210,1.6596,,迪庆藏族自治州,2004,,,2008.0,,,,2,100.0,100.0,0.16824040902425574
211,2.2543,,甘南藏族自治州,2009,,,3192.0,,,,2,100.0,100.0,0.27464887285156286
212,,,海西蒙古族藏族自治州,2014,,,26327.0,,,,2,100.0,100.0,2.3538379021123306
213,,,神农架林区,2017,,,284.0,,,,2,100.0,100.0,0.013301057978413383
214,,,海西蒙古族藏族自治州,2012,,,26383.0,,,,2,100.0,100.0,2.3588707348609192
215,,,巴音郭楞蒙古自治州,2010,,,41643.0,,,,2,100.0,100.0,3.7303176588513804
216,,,海西蒙古族藏族自治州,2015,,,26664.0,,,,2,100.0,100.0,2.3841247706172313
217,2.7139,,酒泉市,2005,146.0284,381.0,15012.0,29.0,,90.26,2,1111.0,101111.0,0.6007889024676275
218,1.5124,,迪庆藏族自治州,2003,,,2076.0,,,,2,100.0,100.0,0.1743517059332565
219,8.3648,,锡林郭勒盟,2006,,,17924.0,,,,2,100.0,100.0,1.5986433737839003
220,,,克孜勒苏柯尔克孜自治州,2015,,,6296.0,,,,2,100.0,100.0,0.5536116023447731
221,3.5388,,阿克苏地区,2003,,,11567.0,,,,2,100.0,100.0,1.0273269848056985
222,,,海北藏族自治州,2012,,,3138.0,,,,2,100.0,100.0,0.2697957841297093
223,,,海南藏族自治州,2011,,,3994.0,,46.0,,2,10100.0,10100.0,2.69785252247764
224,,,和田地区,2010,,,22782.0,,,,2,100.0,100.0,2.035241614723983
225,8.4008,,阿坝藏族羌族自治州,2011,,,7708.0,,,,2,100.0,100.0,0.6805108852199063
226,,,阿克苏地区,2004,,,11941.0,,,,2,100.0,100.0,1.0609391178052026
227,,,大兴安岭地区,2019,,,6222.0,,,,2,100.0,100.0,0.5469610733555665
228,,,黄南藏族自治州,2010,,,1703.0,,,,2,100.0,100.0,0.14082944494712007
229,,,克孜勒苏柯尔克孜自治州,2012,,,6627.0,,,,2,100.0,100.0,0.583359238769468
230,10.4,,阿坝藏族羌族自治州,2014,,,7896.0,,,,2,100.0,100.0,0.697406823733026
231,,,阿勒泰地区,2008,,,11183.0,,,,2,100.0,100.0,0.9928161316725179
232,,,巴音郭楞蒙古自治州,2011,,,45086.0,,,,2,100.0,100.0,4.039747000876226
233,7.5267,,阿坝藏族羌族自治州,2010,,,7984.0,,,,2,100.0,100.0,0.70531556090938
234,,,黄南藏族自治州,2011,,,1737.0,,,,2,100.0,100.0,0.14388509340162045
235,,,阿拉善盟,2017,,,23382.0,,,,2,100.0,100.0,2.0891648227445776
