省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,GDP,passenger_volume,POP,Built_area,Construction_land_area,wage_average,road_area,P_road_area,city,year,baidu_index,scale,all_area,downtown_area,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
甘肃省,省,张掖市,地级市,,13.44,31.01,30704.0,193.0,1225.0,373.53,4700.0,130.07,64.0,38.0,51569.0,664.0,13.07,张掖市,2015,21.0,2,41924.0,4240.0,0.289152868,11124.0,0.187852554,43247.22706000001,18530.4,4373.98
广东省,省,潮州市,地级市,,21.4744,867.77,33954.0,192.0,917.0,910.1099,2243.0,272.8,,76.0,48471.0,,,潮州市,2015,39.0,2,3146.0,1414.0,12.01258441,39137.0,1.706145489,28359.55032,20090.3,2643.57
广东省,省,东莞市,地级市,,184.4948,792.68,75616.0,4904.0,7761.0,6280.0,4928.0,195.01,929.0,1045.0,53221.0,14244.0,73.04,东莞市,2015,163.0,2,2460.0,2460.0,56.16326531,137600.0,13.23463706,165207.9745,19795.0,2540.18
广东省,省,佛山市,地级市,,177.2503,1024.22,108299.0,6666.0,4140.0,8000.0,5320.0,388.97,,,61810.0,,,佛山市,2015,148.0,2,3798.0,3798.0,41.71522655,158351.0,7.636920787,147025.999,19699.4,2546.56
广东省,省,广州市,地级市,,223.7782,1148.78,136188.0,13930.0,22022.0,18100.0,85108.0,854.19,1237.0,,81171.0,11230.0,13.15,广州市,2015,276.0,2,7434.0,7434.0,32.09182984,237640.0,6.724672824,253177.2071,19759.7,2583.4
广东省,省,河源市,地级市,,18.3976,233.81,26401.0,231.0,495.0,810.0793,3257.0,366.41,,,51456.0,,,河源市,2015,36.0,2,15654.0,362.0,2.138885338,33465.0,0.421109055,33706.41098,19902.8,2665.82
广东省,省,惠州市,地级市,,64.3392,314.65,66231.0,2372.0,1970.0,3140.0,6799.0,357.07,217.0,214.0,58607.0,2977.0,20.47,惠州市,2015,112.0,2,11346.0,2697.0,12.61524406,144987.0,1.800778091,105006.9721,19858.7,2574.86
广东省,省,江门市,地级市,,51.8282,411.36,49608.0,1017.0,670.0,2240.0,9047.0,391.41,150.0,38.0,54106.0,1937.0,13.8,江门市,2015,101.0,2,9505.0,1786.0,11.72523962,113770.0,1.44590315,70739.36568999999,19672.4,2464.33
广东省,省,揭阳市,地级市,,28.8494,1339.69,31255.0,375.0,553.0,1890.0,2041.0,701.68,129.0,105.0,44878.0,1263.0,6.03,揭阳市,2015,66.0,2,5240.0,1031.0,13.5109558,71527.0,1.7931616190000002,48293.42873,20024.1,2591.03
广东省,省,茂名市,地级市,,33.0677,687.72,40324.0,368.0,400.0,2450.0,6303.0,785.84,120.0,121.0,53036.0,,,茂名市,2015,53.0,2,11429.0,2716.0,4.568831396,52272.0,0.676331033,38987.1024,19495.2,2434.87
广东省,省,梅州市,地级市,,25.9087,343.89,22155.0,1016.0,470.0,959.7781,2545.0,543.79,54.0,53.0,54018.0,740.0,7.65,梅州市,2015,57.0,2,15819.0,3047.0,2.148045397,34068.0,0.417836582,33924.98777,20016.5,2687.15
广东省,省,清远市,地级市,,34.4527,220.11,33392.0,520.0,483.0,1280.0,2861.0,418.51,383.0,133.0,59788.0,,,清远市,2015,59.0,2,19036.0,3650.0,3.913913546,74517.0,0.586267434,57161.6611,19690.5,2691.32
广东省,省,汕头市,地级市,,50.1561,2501.14,33732.0,1187.0,1032.0,1870.0,1582.0,550.46,254.0,249.0,52299.0,2508.0,4.62,汕头市,2015,92.0,2,2199.0,2085.0,32.85246599,77269.0,4.916101066,58752.32384,20072.9,2592.23
广东省,省,汕尾市,地级市,,7.1229,737.92,25283.0,293.0,360.0,762.0631,1123.0,358.96,17.0,17.0,48162.0,261.0,5.0,汕尾市,2015,22.0,2,4865.0,421.0,7.1377761139999985,38130.0,0.956897007,25904.158880000006,19971.4,2537.84
广东省,省,韶关市,地级市,,20.4252,179.23,39380.0,459.0,1029.0,1150.0,5515.0,330.21,99.0,99.0,54923.0,748.0,8.07,韶关市,2015,45.0,2,18412.0,2871.0,1.956708311,36023.0,0.356048283,33713.49985,19780.6,2748.95
