,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
5144,,,漳州市,2014,2510.0,1111.0,124916.0,62.0,44.0,497.4,2,11111.0,111111.0,63.960000000000015
5145,40.0383,,日照市,2014,1610.0,1981.0,49954.0,100.0,52.0,293.9,2,11111.0,111111.0,51.40900000000001
5146,35.4609,,武汉市,2005,2240.0,4100.0,79136.0,220.0,,801.36,2,1111.0,101111.0,73.4
5147,14.8856,0.2295,许昌市,2008,1060.0,517.0,45984.0,65.0,,478.95,2,1111.0,101111.0,32.36300000000001
5148,,,沧州市,2014,3130.0,968.0,132128.0,68.0,107.0,768.4,2,11111.0,111111.0,67.716
5149,33.5413,,东营市,2010,2360.0,1858.0,72603.0,108.0,,184.87,2,1111.0,101111.0,64.65100000000001
5150,52.8149,,潍坊市,2006,1720.0,2579.0,148016.0,123.0,,855.29,2,1111.0,101111.0,44.88100000000001
5151,,,石家庄市,2015,5440.0,5366.0,130094.0,278.0,178.0,1028.84,2,11111.0,111111.0,113.36599999999999
5152,98.1473,,沈阳市,2011,5920.0,6223.0,119011.0,430.0,61.0,722.7,2,11111.0,111111.0,119.87399999999998
5153,9.479,1.5202,鹤壁市,2011,500.5192,664.0,19767.0,58.0,14.0,164.1,2,11111.0,111111.0,27.932000000000006
5154,124.8056,,杭州市,2010,5950.0,4754.0,156242.0,413.0,,689.12,2,1111.0,101111.0,110.44500000000001
5155,40.7472,6.2083,安阳市,2013,1680.0,965.0,68250.0,110.0,23.0,602.0,2,11111.0,111111.0,55.46200000000001
5156,18.1242,0.2478,焦作市,2009,1070.0,1026.0,37571.0,90.0,,364.86,2,1111.0,101111.0,32.61300000000001
5157,100.4858,,金华市,2013,2960.0,1571.0,101147.0,77.0,50.0,473.4,2,11111.0,111111.0,64.826
5158,139.7489,,烟台市,2016,6930.0,3986.0,130987.0,330.0,122.0,655.0,2,11111.0,111111.0,185.77300000000005
5159,18.8898,,连云港市,2010,1190.0,1642.0,70231.0,120.0,,497.73,2,1111.0,101111.0,33.749
5160,21.6653,4.4249,许昌市,2010,1320.0,538.0,46262.0,80.0,,489.64,2,1111.0,101111.0,38.606
5161,29.6355,,日照市,2012,1350.0,1321.0,50408.0,96.0,16.0,288.1,2,11111.0,111111.0,35.506
5162,75.4246,12.8125,商丘市,2017,2200.0,1132.0,99449.0,134.0,126.0,987.0,2,11111.0,111111.0,64.27500000000002
5163,66.7518,,邯郸市,2011,2790.0,3184.0,111838.0,117.0,39.0,980.0,2,11111.0,111111.0,64.684
5164,33.208,,蚌埠市,2017,1550.0,3036.0,55429.0,147.0,73.0,381.0,2,11111.0,111111.0,50.301
5165,226.4497,,长沙市,2016,9360.0,4706.0,110010.0,375.0,173.0,696.0,2,11111.0,111111.0,250.525
5166,,,漳州市,2016,3130.0,1292.0,126456.0,67.0,78.0,508.0,2,11111.0,111111.0,66.78200000000001
5167,,,沧州市,2015,3320.0,968.0,133388.0,71.0,122.0,774.36,2,11111.0,111111.0,67.716
5168,35.2696,6.2015,新乡市,2011,1490.0,1037.0,77057.0,107.0,51.0,612.5,2,11111.0,111111.0,54.16600000000001
5169,26.0495,,焦作市,2005,583.974,867.0,37953.0,75.0,,352.03,2,1111.0,101111.0,13.842000000000002
5170,15.0353,,威海市,2004,1010.0,1039.0,55898.0,62.0,,248.39,2,1111.0,101111.0,27.017999999999994
5171,92.2061,,台州市,2013,3150.0,2722.0,97083.0,116.0,53.0,594.0,2,11111.0,111111.0,71.319
5172,27.5844,,芜湖市,2013,2100.0,3204.0,56326.0,155.0,27.0,384.5,2,11111.0,111111.0,54.772000000000006
5173,6.1681,,泰州市,2004,705.2,1105.0,54248.0,50.0,,502.77,2,1111.0,101111.0,13.337
5174,78.7599,,太原市,2012,2310.0,2904.0,64702.0,310.0,52.0,365.8,2,11111.0,111111.0,93.39299999999999
5175,17.9571,1.1812,济源市,2020,,,17755.0,,,,2,100.0,100.0,7.737
5176,193.29,,成都市,2011,6850.0,6715.0,134432.0,483.0,61.0,1163.3,2,11111.0,111111.0,150.53900000000004
5177,22.0845,,枣庄市,2009,1200.0,1538.0,42895.0,107.0,,386.79,2,1111.0,101111.0,34.071000000000005
5178,45.9173,,德阳市,2017,1960.0,1014.0,55418.0,86.0,103.0,388.0,2,11111.0,111111.0,58.19600000000001
5179,4.9538,,泰州市,2003,580.04,1038.0,54376.0,48.0,,503.66,2,1111.0,101111.0,12.285000000000002
5180,57.6093,,邯郸市,2010,2360.0,2983.0,113464.0,111.0,,963.5,2,1111.0,101111.0,70.947
5181,13.7433,,揭阳市,2010,1010.0,418.0,49945.0,58.0,,661.79,2,1111.0,101111.0,24.921
5182,45.6092,,咸阳市,2019,2200.0,505.0,97461.0,73.0,95.0,458.0,2,11111.0,111111.0,67.67800000000003
5183,48.3662,9.0079,新乡市,2013,1770.0,1084.0,78056.0,110.0,36.0,625.0,2,11111.0,111111.0,58.956
5184,24.4851,,北海市,2018,1210.0,1306.0,36003.0,82.0,86.0,178.0,2,11111.0,111111.0,37.096000000000004
5185,40.6789,7.2128,新乡市,2012,1620.0,1070.0,78191.0,110.0,37.0,617.0,2,11111.0,111111.0,56.01400000000001
5186,37.004,,银川市,2012,1150.0,1809.0,65124.0,135.0,18.0,167.2,2,11111.0,111111.0,36.093999999999994
5187,20.0863,0.2769,新乡市,2008,949.4928,950.0,78264.0,95.0,,589.57,2,1111.0,101111.0,25.517999999999997
5188,5.82,,嘉峪关市,2016,153.4089,424.0,11641.0,70.0,13.0,21.0,2,11111.0,111111.0,24.489000000000008
5189,74.6845,,烟台市,2010,4360.0,3034.0,134037.0,265.0,,651.14,2,1111.0,101111.0,111.16
5190,27.2789,,连云港市,2012,1600.0,1711.0,71769.0,140.0,18.0,511.0,2,11111.0,111111.0,51.997
5191,75.0793,,沧州市,2013,3010.0,942.0,135794.0,64.0,50.0,754.3,2,11111.0,111111.0,65.38700000000001
5192,176.1001,,杭州市,2012,7800.0,5284.0,160025.0,453.0,64.0,700.5,2,11111.0,111111.0,144.26400000000004
5193,52.0235,,日照市,2016,1800.0,1794.0,51520.0,104.0,63.0,300.0,2,11111.0,111111.0,55.121
5194,30.3548,,北海市,2019,1300.0,1325.0,36210.0,86.0,73.0,180.0,2,11111.0,111111.0,36.379000000000005
5195,9.4401,,湖州市,2006,761.0154,1211.0,55372.0,71.0,,257.89,2,1111.0,101111.0,15.078999999999999
5196,29.0564,,济南市,2004,1620.0,3860.0,97050.0,217.0,,590.08,2,1111.0,101111.0,33.468
5197,50.3403,8.6103,许昌市,2016,2380.0,685.0,47392.0,108.0,91.0,510.0,2,11111.0,111111.0,54.867000000000004
5198,79.4492,,蚌埠市,2018,1710.0,2129.0,56694.0,149.0,88.0,384.0,2,11111.0,111111.0,55.202
5199,16.9618,1.2670000000000001,济源市,2019,,,18028.0,,,,2,100.0,100.0,7.737
5200,,,秦皇岛市,2017,1500.0,2222.0,74899.0,135.0,113.0,298.0,2,11111.0,111111.0,52.193000000000005
5201,55.2345,,济宁市,2011,2900.0,2761.0,106752.0,118.0,49.0,847.0,2,11111.0,111111.0,67.655
5202,11.1453,,潮州市,2010,559.2431,394.0,31040.0,42.0,,260.89,2,1111.0,101111.0,14.985000000000003
5203,2.583,,鄂州市,2010,395.29,781.0,15125.0,52.0,,108.46,2,1111.0,101111.0,10.747000000000002
5204,8.1695,,扬州市,2005,922.02,1825.0,62774.0,67.0,,456.31,2,1111.0,101111.0,25.057999999999996
5205,5.01,,嘉峪关市,2015,190.0441,405.0,11737.0,70.0,15.0,20.25,2,11111.0,111111.0,24.489000000000008
5206,62.1968,,鞍山市,2019,1750.0,3144.0,88536.0,175.0,86.0,340.0,2,11111.0,111111.0,65.07400000000001
5207,30.9677,,马鞍山市,2019,2110.0,1623.0,88536.0,100.0,86.0,229.0,2,11111.0,111111.0,68.84700000000001
5208,101.1683,14.2939,商丘市,2018,2390.0,1489.0,102363.0,137.0,156.0,999.0,2,11111.0,111111.0,64.27500000000002
5209,15.9465,,辽阳市,2012,1000.0,1247.0,45093.0,103.0,6.0,180.3,2,11111.0,111111.0,29.340000000000003
5210,26.1523,,绍兴市,2007,1970.0,1108.0,79274.0,90.0,,436.24,2,1111.0,101111.0,57.958000000000006
5211,63.2473,,威海市,2016,3210.0,3179.0,57198.0,193.0,83.0,256.0,2,11111.0,111111.0,92.92999999999999
5212,47.8837,,滁州市,2019,2910.0,2234.0,129379.0,92.0,72.0,455.0,2,11111.0,111111.0,69.11000000000001
5213,15.7088,,淮南市,2014,789.3187,1480.0,53039.0,106.0,21.0,243.4,2,11111.0,111111.0,36.623000000000005
5214,47.7596,,滨州市,2012,1990.0,1353.0,87506.0,88.0,29.0,380.9,2,11111.0,111111.0,63.330999999999996
5215,19.8172,3.1255,鹤壁市,2016,771.7894,760.0,20525.0,64.0,47.0,170.0,2,11111.0,111111.0,30.762999999999998
5216,149.5503,,杭州市,2011,7020.0,4900.0,162175.0,433.0,68.0,695.7,2,11111.0,111111.0,140.452
5217,67.6399,,湛江市,2019,3070.0,1394.0,129710.0,111.0,95.0,854.0,2,11111.0,111111.0,66.78200000000001
5218,21.7957,,铜陵市,2020,1000.0,1415.0,28647.0,81.0,39.0,,2,11111.0,11111.0,32.519000000000005
5219,108.9394,,济宁市,2016,4300.0,4565.0,107825.0,199.0,113.0,876.0,2,11111.0,111111.0,93.144
5220,222.51,,成都市,2012,8140.0,7441.0,137979.0,516.0,57.0,1173.3,2,11111.0,111111.0,150.53900000000004
5221,83.1759,,沈阳市,2010,5020.0,5706.0,124037.0,412.0,,719.6,2,1111.0,101111.0,98.98100000000001
5222,,,泉州市,2006,1900.0,669.0,109909.0,80.0,,670.4,2,1111.0,101111.0,63.96600000000001
5223,15.3426,2.6351,漯河市,2013,861.5355,805.0,25999.0,61.0,14.0,274.2,2,11111.0,111111.0,29.962
5224,115.4701,,烟台市,2014,6000.0,3396.0,136361.0,316.0,95.0,653.4,2,11111.0,111111.0,122.721
5225,13.4097,,淮北市,2013,703.6634,1066.0,26506.0,80.0,6.0,214.5,2,11111.0,111111.0,25.468
5226,,,秦皇岛市,2019,1610.0,2378.0,75908.0,142.0,91.0,301.0,2,11111.0,111111.0,58.342000000000006
5227,55.9577,,邯郸市,2013,3060.0,3157.0,116381.0,121.0,49.0,994.0,2,11111.0,111111.0,71.319
5228,10.5463,,莆田市,2011,1050.0,784.0,39342.0,55.0,20.0,326.5,2,11111.0,111111.0,31.659000000000002
5229,12.0234,,淄博市,2002,780.0,,57894.0,153.0,,412.03,2,1101.0,101101.0,20.945
5230,,,黄石市,2019,1770.0,1897.0,44223.0,82.0,57.0,273.0,2,11111.0,111111.0,55.121
5231,,,漳州市,2015,2770.0,1123.0,131690.0,66.0,70.0,502.08,2,11111.0,111111.0,67.75600000000001
5232,49.3502,6.6642,濮阳市,2016,1450.0,816.0,41300.0,59.0,76.0,433.0,2,11111.0,111111.0,46.763000000000005
5233,28.7837,,绍兴市,2008,2220.0,1114.0,80343.0,90.0,,437.06,2,1111.0,101111.0,62.961
