Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
1400,4.6877,,白山市,2007,237.4523,272.0,15610.0,151.0,,129.92,2,101111.0,100111.0,-5.7741456031799325,11.55319805145264
1401,1.9799,,吴忠市,2004,92.2147,186.0,15057.0,18.0,,126.47,2,101111.0,100111.0,-18.48948097229004,-0.5942953300476077
1402,72.18,,昭通市,2016,765.5307,420.0,20117.0,42.0,22.0,609.0,2,111111.0,110111.0,-56414.0390625,-29137.730812501908
1403,1.6182,,来宾市,2003,119.2224,83.0,11985.0,18.0,,244.14,2,101111.0,100111.0,-21.005096435546875,-0.5335667174203067
1404,5.4375,,资阳市,2009,534.5119,270.0,5160.0,32.0,,501.35,2,101111.0,100111.0,-19.67705535888672,10.080737202053982
1405,9.3,,崇左市,2015,682.8231,222.0,15566.0,28.0,0.0,248.8,2,111111.0,110111.0,-52438.1953125,2441.7589062499974
1406,12.5581,,黄山市,2014,507.1697,745.0,8690.0,63.0,13.0,147.7,2,111111.0,110111.0,-52671.4921875,462.2841210937477
1407,,,十堰市,2014,1200.0,1032.0,21309.0,96.0,39.0,347.0,2,111111.0,110111.0,-55410.796875,-16859.84374458762
1408,6.7531,,大理白族自治州,2005,,,25429.0,,,,2,100.0,100.0,-48.17550277709961,-5.536653125286101
1409,91.306,,文山壮族苗族自治州,2018,,,28255.0,,,,2,100.0,100.0,-46.00505447387695,25494.842149972916
1410,8.0953,,齐齐哈尔市,2005,422.4396,734.0,38083.0,113.0,,556.99,2,101111.0,100111.0,-7.263400077819824,7.532002845177285
1411,,,天门市,2005,,,2365.0,,,,2,100.0,100.0,-65.88932037353516,-34.43873833263622
1412,32.5873,,河池市,2019,878.0,834.0,30209.0,45.0,49.0,434.0,2,111111.0,110111.0,-56619.296875,-520.2283370535733
1413,3.4287,,宣城市,2002,182.5966,,11126.0,19.0,,275.47,2,101101.0,100101.0,-22.358726501464844,0.8567572331428508
1414,100.4804,,临沧市（2003年前为临沧地区）,2020,821.0,304.0,21373.0,23.0,22.0,,2,11111.0,10111.0,-13.587986946105955,49.13615980148315
1415,,,伊春市,2013,284.4921,881.0,29698.0,165.0,3.0,123.2,2,111111.0,110111.0,-50250.3046875,-5218.780438748872
1416,36.1776,,丽江市,2019,473.0,208.0,18608.0,24.0,23.0,123.0,2,111111.0,110111.0,-53713.3515625,-25901.954488763808
1417,98.5747,,文山壮族苗族自治州,2019,,,28490.0,,,,2,100.0,100.0,-45.82456588745117,27765.57250784874
1418,9.4625,,广元市,2011,403.5362,394.0,14802.0,40.0,9.0,311.3,2,111111.0,110111.0,-53514.44140625,-7475.24759847005
1419,10.0269,,抚州市,2010,630.0124,916.0,17069.0,50.0,,403.96,2,101111.0,100111.0,-10.8313627243042,7.930600225275214
1420,8.7205,,南平市,2010,728.6525,236.0,23861.0,26.0,,313.9,2,101111.0,100111.0,-11.494762420654295,-1.3216868951585532
1421,20.2,,十堰市,2011,851.25,772.0,21523.0,65.0,35.0,348.4,2,111111.0,110111.0,-55360.6328125,-17838.23126701804
1422,3.6809,,崇左市,2009,304.3555,185.0,15759.0,18.0,,241.96,2,101111.0,100111.0,-17.699243545532227,1.5070019858224057
1423,12.3664,,达州市,2011,1010.0,185.0,15079.0,32.0,8.0,690.7,2,111111.0,110111.0,-56261.17578125,-10221.98197347005
1424,,,鹤岗市,2014,259.4613,450.0,13379.0,53.0,15.0,107.0,2,111111.0,110111.0,-52786.09375,-4144.801386225772
1425,7.9060000000000015,,桂林市,2006,607.0178,576.0,25157.0,58.0,,499.29,2,101111.0,100111.0,-11.702463150024414,7.6474758311680375
1426,,,固原市,2015,217.0391,784.0,9588.0,52.0,2.0,149.77,2,111111.0,110111.0,-51426.58984375,38.21534375000192
1427,30.0516,,张家界市,2016,493.099,401.0,8664.0,34.0,15.0,171.0,2,111111.0,110111.0,-53541.74609375,50.76299918039149
1428,3.423,,临夏回族自治州,2007,,,7408.0,,,,2,100.0,100.0,-62.016151428222656,-36.509180883680074
1429,12.7868,,十堰市,2010,736.78,746.0,21632.0,62.0,,353.19,2,101111.0,100111.0,-7.60750675201416,20.654890887316537
1430,3.5207,,随州市,2008,310.2,1121.0,8786.0,86.0,,256.11,2,101111.0,100111.0,-10.161778450012207,18.9290909688613
1431,20.84,,丽江市,2012,212.2389,199.0,18817.0,25.0,1.0,119.0,2,111111.0,110111.0,-51494.296875,-25727.68420664787
1432,24.5557,,齐齐哈尔市,2006,481.5986,836.0,38741.0,135.0,,565.9,2,101111.0,100111.0,-4.43626594543457,10.02172272021954
1433,3.9368,,丹东市,2002,202.6475,,13559.0,51.0,,241.3,2,101101.0,100101.0,-18.4717960357666,-2.053042706080845
1434,2.6888,,丽水市,2002,185.1028,,15865.0,17.0,,249.28,2,101101.0,100101.0,-20.891321182250977,-9.070955161181361
1435,,,固原市,2016,239.8058,790.0,9700.0,35.0,5.0,150.0,2,111111.0,110111.0,-51663.98828125,-35.38825000000361
1436,68.4247,,永州市,2015,1420.0,725.0,20548.0,62.0,51.0,635.28,2,111111.0,110111.0,-58997.15234375,-5079.254716132025
1437,26.5947,,吉安市,2015,1330.0,834.0,23309.0,55.0,48.0,530.36,2,111111.0,110111.0,-57626.33984375,-391.0359943181902
1438,58.7063,,永州市,2011,945.3949,619.0,20567.0,58.0,15.0,631.2,2,111111.0,110111.0,-55542.8828125,-5194.04128137861
1439,1.62754,,来宾市,2004,145.2075,105.0,12336.0,18.0,,245.13,2,101111.0,100111.0,-20.566286087036133,-0.23220461981637186
1440,3.1754,,九江市,2003,306.7749,360.0,17619.0,48.0,,460.08,2,101111.0,100111.0,-17.66048812866211,3.739876665635542
1441,12.7817,,吴忠市,2005,98.1093,174.0,15520.0,19.0,,124.12,2,101111.0,100111.0,-18.261037826538086,-0.754274200439454
1442,13.1407,,乌兰察布市（2003年前为乌兰察布盟）,2012,781.17,52.0,50316.0,42.0,2.0,287.0,2,111111.0,110111.0,-51079.37109375,-14457.912857208248
1443,17.5653,,红河哈尼族彝族自治州,2002,,,29815.0,,,,2,100.0,100.0,-44.80693054199219,3.893161501884464
1444,,,伊犁哈萨克自治州,2015,,,51291.0,,,,2,100.0,100.0,-28.31274032592773,12603.646384838868
1445,2.6934,,平凉市,2005,474.9203,343.0,10367.0,36.0,,218.15,2,101111.0,100111.0,-14.330768585205078,11.405186567306519
1446,,,上饶市,2003,252.7563,259.0,21196.0,21.0,,657.38,2,101111.0,100111.0,-23.24209213256836,-1.841727338270708
1447,50.21,,楚雄彝族自治州,2012,,,26486.0,,,,2,100.0,100.0,-47.36369323730469,25719.248975114824
1448,4.0,,忻州市,2002,93.4096,,23490.0,15.0,,292.4,2,101101.0,100101.0,-21.147541046142575,0.09200352755460273
1449,17.2628,,毕节市（2011年前为毕节地区）,2013,,,25032.0,,7.0,,2,10100.0,10100.0,-34.75164794921875,17704.11735200882
1450,,,伊犁哈萨克自治州,2014,,,51417.0,,,,2,100.0,100.0,-28.21596908569336,12397.6231013855
1451,60.4501,,益阳市,2014,1250.0,844.0,11495.0,71.0,27.0,483.2,2,111111.0,110111.0,-55980.22265625,-3910.3395717838866
1452,15.0929,,宜宾市,2012,1240.0,674.0,12382.0,80.0,6.0,546.6,2,111111.0,110111.0,-54573.3515625,-8997.210484335767
1453,54.8016,,永州市,2012,1060.0,644.0,20816.0,58.0,11.0,620.3,2,111111.0,110111.0,-55019.65625,-4938.115018801007
1454,2.2464,,咸宁市,2003,173.68,315.0,9096.0,31.0,,278.32,2,101111.0,100111.0,-19.53214263916016,12.401508912479173
1455,,,拉萨市,2020,678.0,,27724.0,77.0,22.0,,2,11101.0,10101.0,-19.568798065185547,34.652791573660714
1456,8.15,,庆阳市,2010,357.6095,198.0,25363.0,21.0,,259.18,2,101111.0,100111.0,-15.213151931762695,10.270040651048934
1457,5.1446,,六安市,2002,196.226,,14436.0,46.0,,667.75,2,101101.0,100101.0,-25.58967590332031,-2.3741921687126144
1458,20.7171,,齐齐哈尔市,2007,556.0392,839.0,39625.0,135.0,,567.8,2,101111.0,100111.0,-3.418116569519043,10.326561384934646
1459,19.172,,通化市,2016,947.5914,416.0,14615.0,54.0,37.0,220.0,2,111111.0,110111.0,-55731.3359375,-6684.034184807671
1460,,,阿克苏地区,2016,,,120212.0,,,,2,100.0,100.0,24.620574951171875,12769.964452154538
1461,9.01,,白银市,2010,311.1826,555.0,18930.0,55.0,,180.39,2,101111.0,100111.0,-11.665176391601562,13.818016191210067
1462,5.3448,,衡阳市,2002,418.9963,,14422.0,90.0,,709.66,2,101101.0,100101.0,-19.769287109375,7.9871424892970495
1463,19.7048,,襄阳市（2010年前为襄樊市）,2009,1200.0,1306.0,18611.0,96.0,,588.88,2,101111.0,100111.0,-1.6218481063842771,29.002124972623932
1464,4.0463,,咸宁市,2005,203.83,319.0,9206.0,31.0,,276.72,2,101111.0,100111.0,-19.11962890625,12.33095313464894
1465,2.2614,,德宏傣族景颇族自治州,2003,,,10559.0,,,,2,100.0,100.0,-59.596092224121094,-16.839562842845915
1466,3.9996,,崇左市,2008,264.8005,185.0,16401.0,13.0,,240.0,2,101111.0,100111.0,-18.405630111694336,-0.3437600721631746
1467,19.8377,,九江市,2005,428.9161,431.0,18063.0,48.0,,466.2,2,101111.0,100111.0,-15.976996421813965,4.681831607818605
1468,8.5632,,陇南市（2004年前为陇南地区）,2013,249.5,74.0,26446.0,14.0,2.0,282.8,2,111111.0,110111.0,-52389.15234375,-8241.073498665944
