Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
110,,,和田地区,2006,,,12028.0,,,,2,100.0,100.0,-58.58687052752547,-1.1939210155105116
111,0.2277,,黄南藏族自治州,2002,,,886.0,,,,2,100.0,100.0,-67.14590657438103,-4.402906810921749
112,1.5183,,阿拉善盟,2007,,,11870.0,,,,2,100.0,100.0,-58.70824260573435,-28.81242429509698
113,0.1611,,海北藏族自治州,2006,,,1709.0,,,,2,100.0,100.0,-66.51369631890067,-5.691172850980465
114,,,巴音郭楞蒙古自治州,2005,,,23544.0,,,,2,100.0,100.0,-49.74053601706161,8.544314180396228
115,,,海北藏族自治州,2008,,,1744.0,,,,2,100.0,100.0,-66.48681009904429,-5.561410630078242
116,,,阿勒泰地区,2004,,,5945.0,,,,2,100.0,100.0,-63.25969553856679,-4.504621809334381
117,4.9566,,甘孜藏族自治州,2010,,,7656.0,,,,2,100.0,100.0,-61.94534347644421,-29.50388571718087
118,1.8786,,阿拉善盟,2008,,,12333.0,,,,2,100.0,100.0,-58.35257632591976,-29.883139232175104
119,,,神农架林区,2014,,,169.0,,,,2,100.0,100.0,-67.69668999258202,-35.838540569045
120,0.782,,阿勒泰地区,2003,,,6226.0,,,,2,100.0,100.0,-63.04383760200545,-4.259019121020643
121,,,海北藏族自治州,2014,,,1838.0,,,,2,100.0,100.0,-66.4146013942871,-13.20064398463741
122,,,克孜勒苏柯尔克孜自治州,2010,,,3760.0,,,,2,100.0,100.0,-64.93816383531598,-11.451691970890117
123,0.93,,海南藏族自治州,2006,,,2360.0,,,,2,100.0,100.0,-66.01361262957174,-5.191089161651533
124,3.7103,,阿拉善盟,2009,,,13104.0,,,,2,100.0,100.0,-57.760311311368895,-30.566279038162772
125,0.7176,,阿坝藏族羌族自治州,2003,,,4553.0,,,,2,100.0,100.0,-64.3289989111411,-32.638898957389486
126,8.3,,甘孜藏族自治州,2016,,,8491.0,,,,2,100.0,100.0,-61.303915088441656,-30.47754408429476
127,,,和田地区,2007,,,14122.0,,,,2,100.0,100.0,-56.97830640240293,-0.10929297000257066
128,,,海北藏族自治州,2015,,,1971.0,,,,2,100.0,100.0,-66.31243375883281,-14.77589475185733
129,3.4,,锡林郭勒盟,2003,,,11523.0,,,,2,100.0,100.0,-58.974800271167744,-23.16703584945519
130,,,神农架林区,2002,,,188.0,,,,2,100.0,100.0,-67.68209461608855,-25.419669667789265
131,,,黄南藏族自治州,2003,,,1049.0,,,,2,100.0,100.0,-67.02069360762125,-5.568110577511348
132,,,阿勒泰地区,2005,,,6907.0,,,,2,100.0,100.0,-62.52070858137104,-4.235858383913204
133,,,阿拉善盟,2015,,,14169.0,,,,2,100.0,100.0,-56.94220205002435,-27.51163897370051
