Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
149,,,和田地区,2009,,,15254.0,,,,2,100.0,100.0,10.574771893916106,4.072757909522746
150,,,黄南藏族自治州,2004,,,1119.0,,,,2,100.0,100.0,0.6875910022304228,0.3524430793032854
151,,,海西蒙古族藏族自治州,2010,,,18827.0,,,,2,100.0,100.0,13.074021793172767,9.21048042437187
152,1.8003,,酒泉市,2002,95.0705,,10574.0,22.0,,96.2,2,1101.0,101101.0,3.0844614746616097,1.812279125484294
153,2.0105,,阿坝藏族羌族自治州,2005,,,5250.0,,,,2,100.0,100.0,3.5771519688772964,2.5284649150979464
154,,,巴音郭楞蒙古自治州,2009,,,29831.0,,,,2,100.0,100.0,20.77112391783561,7.999771538780125
155,,,巴音郭楞蒙古自治州,2007,,,29979.0,,,,2,100.0,100.0,20.874647283379968,6.235091784701603
156,,,海北藏族自治州,2017,,,2205.0,,,,2,100.0,100.0,1.4472286710221207,0.6751391321717543
157,8.0,,甘孜藏族自治州,2015,,,9613.0,,,,2,100.0,100.0,6.628992805836946,5.49591665469829
158,,,海北藏族自治州,2018,,,2209.0,,,,2,100.0,100.0,1.4500265998206168,0.6217412821392077
159,,,大兴安岭地区,2017,,,4248.0,,,,2,100.0,100.0,2.8762708048540166,1.577523763837118
160,5.5322,,阿坝藏族羌族自治州,2008,,,5346.0,,,,2,100.0,100.0,3.6443022600412034,2.821843296073983
161,0.3929,,神农架林区,2009,,,210.0,,,,2,100.0,100.0,0.05176168277217832,0.03173326526649264
162,1.1366,,甘南藏族自治州,2005,,,2394.0,,,,2,100.0,100.0,1.5794308067510627,0.7561505252826831
163,7.4,,甘孜藏族自治州,2014,,,9811.0,,,,2,100.0,100.0,6.767490281362503,6.040009833473534
164,0.7421,,海南藏族自治州,2009,,,2859.0,,,,2,100.0,100.0,1.904690029576237,1.3527750575819821
165,10.9005,,阿坝藏族羌族自治州,2009,,,5466.0,,,,2,100.0,100.0,3.7282401239960867,3.374538043212538
166,,,海南藏族自治州,2014,,,2879.0,,84.0,,2,10100.0,10100.0,45.81338409137341,25.737811629928828
167,,,大兴安岭地区,2014,,,4386.0,,,,2,100.0,100.0,2.9727993484021336,1.9631290470090046
168,1.4218,,甘南藏族自治州,2004,,,2442.0,,,,2,100.0,100.0,1.6130059523330158,0.03507415874496589
169,2.4309,,迪庆藏族自治州,2002,,,1579.0,,,,2,100.0,100.0,1.0093528140574772,0.5879345256644813
170,,,巴音郭楞蒙古自治州,2008,,,32350.0,,,,2,100.0,100.0,22.533119578688545,7.448191801437557
171,,,果洛藏族自治州,2020,,,5106.0,,,,2,100.0,100.0,3.476426532131436,1.9731548912435255
172,2.3857,,阿坝藏族羌族自治州,2006,,,5718.0,,,,2,100.0,100.0,3.9045096383013433,2.801021602273637
173,,,海南藏族自治州,2008,,,3007.0,,,,2,100.0,100.0,2.0082133951205936,1.236475076422296
174,7.5511,,阿坝藏族羌族自治州,2007,,,5727.0,,,,2,100.0,100.0,3.9108049780979592,2.89654932867456
175,2.4817,,甘孜藏族自治州,2012,,,10409.0,,,,2,100.0,100.0,7.1857806367376735,7.5162953177956044
176,,,海西蒙古族藏族自治州,2011,,,21023.0,,,,2,100.0,100.0,14.610084703547145,7.577527669925606
177,0.3619,,神农架林区,2008,,,227.0,,,,2,100.0,100.0,0.06365288016578685,0.03406888405937053
178,6.95,,阿拉善盟,2011,,,16884.0,,,,2,100.0,100.0,11.714927879303277,6.866658518692088
179,,,阿勒泰地区,2006,,,8247.0,,,,2,100.0,100.0,5.673500121150518,1.6209879064311077
180,3.7991,,阿拉善盟,2010,,,17098.0,,,,2,100.0,100.0,11.864617070022822,6.7026451066654795
181,,,神农架林区,2005,,,234.0,,,,2,100.0,100.0,0.06854925556315508,0.03343842590350551
182,0.6656,,黄南藏族自治州,2007,,,1313.0,,,,2,100.0,100.0,0.8232905489574849,0.44561279713459057
183,1.3324,,甘南藏族自治州,2006,,,2677.0,,,,2,100.0,100.0,1.7773842692446635,0.7629814267352653
184,0.515,,黄南藏族自治州,2009,,,1317.0,,,,2,100.0,100.0,0.8260884777559809,0.5867158806479328
185,0.2651,,黄南藏族自治州,2006,,,1318.0,,,,2,100.0,100.0,0.826787959955605,0.4110450884190359
186,5.3088,,阿克苏地区,2002,,,9418.0,,,,2,100.0,100.0,6.492593776910257,1.990836291498215
187,,,神农架林区,2003,,,241.0,,,,2,100.0,100.0,0.07344563096052327,0.03499733973537034
188,,,神农架林区,2007,,,241.0,,,,2,100.0,100.0,0.07344563096052327,0.039134836702142566
189,,,神农架林区,2019,,,241.0,,,,2,100.0,100.0,0.07344563096052327,0.0602341748464127
190,,,海北藏族自治州,2019,,,2564.0,,,,2,100.0,100.0,1.6983427806871483,0.9038247024291131
191,,,阿勒泰地区,2007,,,8778.0,,,,2,100.0,100.0,6.044925169150878,1.8055712630563698
192,,,神农架林区,2018,,,244.0,,,,2,100.0,100.0,0.07554407755939538,0.049864249267460234
193,2.5895,,酒泉市,2003,106.6855,302.0,12764.0,22.0,,91.84,2,1111.0,101111.0,4.222498878898459,2.171307345353095
194,1.8093,,甘南藏族自治州,2008,,,2834.0,,,,2,100.0,100.0,1.887202974585637,1.0626366725034107
