Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
2779,2.9211,,防城港市,2009,251.0367,386.0,13361.0,30.0,,86.92,2,1111.0,101111.0,0.4115737456015529,0.4256018600185007
2780,18.0555,,忻州市,2010,437.4561,238.0,54119.0,30.0,,307.55,2,1111.0,101111.0,2.231498540929407,3.269080691038998
2781,,,黔西南布依族苗族自治州,2020,,,36124.0,,,,2,100.0,100.0,1.3115624874068148,1.014938473545658
2782,9.2849,,南宁市,2003,502.5271,1358.0,47480.0,125.0,,614.67,2,1111.0,101111.0,2.350622010464157,1.8200895487974367
2783,5.6653,,攀枝花市,2002,138.8926,,15942.0,42.0,,104.84,2,1101.0,101101.0,0.8195695083976783,0.3328167001667399
2784,11.7245,,抚顺市,2007,547.2419,679.0,24273.0,122.0,,223.72,2,1111.0,101111.0,1.3915581845743403,0.6875997487956158
2785,23.4379,4.3148,信阳市,2012,1400.0,828.0,40734.0,73.0,20.0,855.2,2,11111.0,111111.0,4.663193988670024,6.628431481981863
2786,12.601,,吴忠市,2013,351.9276,499.0,36190.0,48.0,0.0,143.7,2,11111.0,111111.0,-2.15999698463286,2.590082277887312
2787,23.2838,,吉林市,2009,1500.0,1290.0,59677.0,166.0,,437.42,2,1111.0,101111.0,4.552093798250186,5.058030199652801
2788,7.1983,,南阳市,2004,893.3215,860.0,57202.0,69.0,,1065.58,2,1111.0,101111.0,4.584348192223763,3.7341455646185864
2789,31.361,,吉林市,2011,2210.0,1300.0,59706.0,166.0,35.0,433.3,2,11111.0,111111.0,3.3945342255131914,6.229165786912518
2790,70.3696,,桂林市,2019,2110.0,1670.0,59686.0,128.0,101.0,541.0,2,11111.0,111111.0,5.978380929301487,8.129745902996387
2791,17.5403,,韶关市,2014,1110.0,735.0,39740.0,96.0,34.0,329.1,2,11111.0,111111.0,1.000883026383706,4.828858072976239
2792,,,潜江市,2002,,,4314.0,,,,2,100.0,100.0,-1.611658838911713,-1.9951629159716846
2793,35.2206,,泸州市,2017,1600.0,1591.0,26402.0,154.0,92.0,510.0,2,11111.0,111111.0,3.82252457842825,6.396022335419332
2794,14.6788,,安庆市,2010,988.11,937.0,29156.0,77.0,,615.62,2,1111.0,101111.0,3.2638338271405316,4.129550969117438
2795,,,宜昌市,2015,3380.0,2004.0,45857.0,165.0,74.0,398.18,2,11111.0,111111.0,5.001727207812314,8.119712552736605
2796,7.8021,,铁岭市,2006,323.9324,347.0,28086.0,41.0,,304.54,2,1111.0,101111.0,1.3315250403561696,0.8406743155071541
2797,,,南平市,2018,1790.0,457.0,56889.0,49.0,86.0,320.0,2,11111.0,111111.0,3.9594582030426526,3.1007969051535986
2798,15.3288,,黄冈市,2012,1190.0,776.0,37722.0,41.0,15.0,748.2,2,11111.0,111111.0,3.4865926120865858,5.784319191197222
2799,7.1196,,池州市,2013,462.2452,741.0,18198.0,37.0,5.0,161.9,2,11111.0,111111.0,-2.3856201526066183,0.6962202476438568
2800,10.4776,,玉林市,2008,605.9167,655.0,27884.0,52.0,,641.73,2,1111.0,101111.0,2.5248067051215908,0.6159520923027145
2801,24.16,,庆阳市,2015,609.4314,309.0,58917.0,24.0,18.0,267.31,2,11111.0,111111.0,0.3621109351521916,3.9842278399902495
2802,42.7,,绵阳市,2015,1700.0,1616.0,44061.0,125.0,91.0,545.48,2,11111.0,111111.0,4.762856407033696,8.280913998444358
2803,2.7562,,铜川市,2007,102.27,348.0,8478.0,36.0,,84.86,2,1111.0,101111.0,-0.04187469191968085,-0.540494937928046
2804,5.7161,,铁岭市,2005,264.2307,240.0,28244.0,41.0,,302.55,2,1111.0,101111.0,1.2269059813786385,0.8877679128345564
2805,,,黄冈市,2014,1460.0,975.0,37933.0,47.0,40.0,741.4,2,11111.0,111111.0,4.436978898682717,7.228183172591804
2806,10.262,,景德镇市,2012,628.2524,766.0,11434.0,75.0,7.0,166.7,2,11111.0,111111.0,-2.387185048797809,0.39813371167162215
2807,3.0373,,云浮市,2003,214.7012,241.0,16991.0,18.0,,261.28,2,1111.0,101111.0,0.8107131560330179,0.6904928851443839
2808,4.1983,,孝感市,2004,381.29,510.0,19421.0,44.0,,507.2,2,1111.0,101111.0,1.610079342775065,1.688260026134611
2809,,,荆州市,2016,1730.0,1025.0,30721.0,86.0,68.0,646.0,2,11111.0,111111.0,4.601968110171186,8.447841270057861
2810,,,吴忠市,2014,383.4317,515.0,36666.0,50.0,4.0,143.5,2,11111.0,111111.0,-1.9979500903715184,2.4000979513478997
2811,77.4697,14.4622,南阳市,2016,3110.0,2247.0,57959.0,150.0,121.0,1195.0,2,11111.0,111111.0,12.078011777654414,16.342661623985066
2812,37.5081,,九江市,2015,1900.0,1546.0,41706.0,106.0,67.0,516.59,2,11111.0,111111.0,4.036491877323355,6.8158732129110255
2813,33.662,,朝阳市,2017,762.7,572.0,43064.0,59.0,58.0,336.0,2,11111.0,111111.0,1.5838459123119568,3.362033311368118
2814,11.212,,南宁市,2004,588.8588,1604.0,48316.0,125.0,,648.85,2,1111.0,101111.0,2.5578737908710947,2.193469904851526
2815,27.2846,,吉林市,2010,1800.0,1295.0,60618.0,166.0,,434.03,2,1111.0,101111.0,5.259061813789697,6.239406174790459
2816,,,南平市,2019,1990.0,459.0,57543.0,49.0,45.0,318.0,2,11111.0,111111.0,2.96273543438717,2.3139681761615036
2817,5.5387,,三门峡市,2004,274.6518,157.0,21748.0,25.0,,223.29,2,1111.0,101111.0,0.9989062048350772,0.14870357722990002
2818,,,佳木斯市,2012,668.2943,531.0,71284.0,98.0,9.0,239.3,2,11111.0,111111.0,0.18941433414178646,2.1543299681287205
2819,,,随州市,2019,1160.0,719.0,21029.0,80.0,38.0,249.0,2,11111.0,111111.0,0.03634931154193133,1.7387261874736974
2820,2.0748,,铜川市,2006,83.631,325.0,8535.0,36.0,,84.55,2,1111.0,101111.0,-0.07705137009067509,-0.6254167782790294
2821,77.27,,大理白族自治州,2013,,,62116.0,,,,2,100.0,100.0,3.70013113606042,7.0552859951509035
2822,19.8522,,龙岩市,2011,1240.0,407.0,41779.0,40.0,25.0,295.1,2,11111.0,111111.0,0.8752478832511931,2.935089255713779
2823,43.94,,达州市,2020,2120.0,490.0,36456.0,88.0,72.0,,2,11111.0,11111.0,11.536790936150469,6.662754018178723
2824,77.2255,,郴州市,2019,2410.0,533.0,42471.0,79.0,59.0,534.0,2,11111.0,111111.0,4.828425400829231,6.365876221660459
2825,25.3234,,来宾市,2020,706.0,871.0,29468.0,53.0,43.0,,2,11111.0,11111.0,8.415850655122332,3.6937686187666046
2826,45.8834,,吉林市,2015,2390.0,1595.0,61186.0,259.0,90.0,426.24,2,11111.0,111111.0,5.024473026627401,7.629509093417058
2827,10.2581,,广安市,2013,835.1436,398.0,13993.0,47.0,4.0,470.4,2,11111.0,111111.0,0.121843871571496,3.693491090247592
2828,,,潜江市,2003,,,4415.0,,,,2,100.0,100.0,-1.6023773125376743,-1.482188725068768
2829,,,海东市(2013年前为海东地区）,2019,,,28736.0,,3.0,,2,10100.0,10100.0,6.572617628079952,5.679736357884487
2830,16.1612,,仙桃市,2010,,,5586.0,,,,2,100.0,100.0,-1.4947667443792652,-0.8847062139457404
2831,64.6903,,达州市,2019,2040.0,450.0,36702.0,88.0,69.0,659.0,2,11111.0,111111.0,5.4154487279035495,7.675858932484996
2832,4.7103,,葫芦岛市,2004,293.3558,335.0,23431.0,60.0,,272.95,2,1111.0,101111.0,1.073372836153526,0.7473323187257974
2833,3.0923,,蚌埠市,2002,190.1881,,13194.0,55.0,,343.22,2,1101.0,101101.0,1.2472874925612638,0.37926940608792353
2834,8.5873,,景德镇市,2011,564.7106,761.0,11625.0,73.0,10.0,164.6,2,11111.0,111111.0,-2.3731992121113596,0.03193524920830226
2835,,,哈尔滨市,2016,6100.0,5422.0,117519.0,431.0,152.0,962.0,2,11111.0,111111.0,15.387594856525993,18.06674635854327
2836,4.1976,,遂宁市,2008,372.6708,549.0,11806.0,49.0,,384.94,2,1111.0,101111.0,1.1623539554556408,1.0998858761649224
2837,29.7615,,四平市,2014,1210.0,1818.0,22672.0,55.0,27.0,328.1,2,11111.0,111111.0,0.12085199827600235,3.406521077891155
2838,36.2055,,安庆市,2015,1420.0,1168.0,29932.0,85.0,52.0,622.1,2,11111.0,111111.0,3.5426604492718603,6.5238327837916446
2839,41.6335,,包头市,2012,3410.0,2422.0,61200.0,186.0,14.0,223.5,2,11111.0,111111.0,2.35751132052766,4.9835446799089125
2840,8.9605,,宁德市,2011,930.1166,292.0,29971.0,21.0,15.0,340.0,2,11111.0,111111.0,0.221375469601762,2.281216842064348
2841,79.48,,玉溪市,2014,1180.0,667.0,33114.0,29.0,17.0,216.0,2,11111.0,111111.0,-0.32225237634943404,3.735648246208778
2842,22.561,,贵港市,2016,958.7564,907.0,23569.0,73.0,49.0,555.0,2,11111.0,111111.0,2.341419191402167,5.013029096256449
2843,16.5988,,亳州市,2009,431.9284,1022.0,18913.0,57.0,,596.93,2,1111.0,101111.0,1.711401557661313,2.062639962113803
2844,6.9696,,茂名市,2002,592.5513,,25395.0,33.0,,661.36,2,1101.0,101101.0,3.047428926061805,1.7587969285365657
2845,23.8892,3.1482,信阳市,2011,1260.0,817.0,42093.0,73.0,32.0,876.6,2,11111.0,111111.0,5.062809841171124,5.665239216727775
2846,1.7961,,朔州市,2003,118.5962,274.0,23685.0,25.0,,141.96,2,1111.0,101111.0,0.4855159488374252,0.6700549541146308
2847,32.0957,,丽水市,2016,1210.0,461.0,38473.0,35.0,63.0,268.0,2,11111.0,111111.0,1.6754133069277248,6.2754669751229
2848,,,潜江市,2005,,,4453.0,,,,2,100.0,100.0,-1.598885253109818,-1.5064585989557717
2849,25.6824,,丽水市,2014,1050.0,433.0,38491.0,34.0,40.0,265.7,2,11111.0,111111.0,0.7991950755124595,5.759329853900742
