,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
47,,,玉树藏族自治州,2017,,,3680.0,,,,2,100.0,100.0,2.7224218048874596
48,,,玉树藏族自治州,2018,,,3938.0,,,,2,100.0,100.0,2.920611654114594
49,3.88,,和田地区,2002,,,4849.0,,,,2,100.0,100.0,3.6204215480910262
50,,,果洛藏族自治州,2015,,,1492.0,,,,2,100.0,100.0,1.04164897500773
51,1.2121,,甘孜藏族自治州,2003,,,3043.0,,,,2,100.0,100.0,2.233092603501085
52,0.5464,,克孜勒苏柯尔克孜自治州,2002,,,1468.0,,,,2,100.0,100.0,1.0232127099633455
53,,,果洛藏族自治州,2014,,,1567.0,,,,2,100.0,100.0,1.0992623032714317
54,,,果洛藏族自治州,2013,,,1603.0,,,,2,100.0,100.0,1.1269167008380088
55,1.2987,,甘孜藏族自治州,2004,,,3419.0,,,,2,100.0,100.0,2.521927422529777
56,,,果洛藏族自治州,2017,,,1765.0,,,,2,100.0,100.0,1.2513614898876049
57,1.8281,,海西蒙古族藏族自治州,2002,,,7240.0,,,,2,100.0,100.0,5.457134453137843
58,0.9207,,阿拉善盟,2002,,,5766.0,,,,2,100.0,100.0,4.324840508328555
59,,,玉树藏族自治州,2019,,,5108.0,,,,2,100.0,100.0,3.8193795750283437
60,2.4004,,甘孜藏族自治州,2005,,,3777.0,,,,2,100.0,100.0,2.7969350427751807
61,,,果洛藏族自治州,2018,,,1893.0,,,,2,100.0,100.0,1.3496882367909895
62,0.2418,,海北藏族自治州,2002,,,915.0,,,,2,100.0,100.0,0.5984104362323169
63,1.7783,,甘孜藏族自治州,2006,,,4362.0,,,,2,100.0,100.0,3.2463190032320557
64,0.6137,,克孜勒苏柯尔克孜自治州,2003,,,2100.0,,,,2,100.0,100.0,1.5087010227988067
65,2.8045,,甘孜藏族自治州,2007,,,4620.0,,,,2,100.0,100.0,3.44450885245919
66,0.2219,,海南藏族自治州,2002,,,1366.0,,,,2,100.0,100.0,0.9448585835247109
67,,,海西蒙古族藏族自治州,2003,,,9427.0,,,,2,100.0,100.0,7.13713910530739
68,,,海北藏族自治州,2003,,,1108.0,,,,2,100.0,100.0,0.7466687342975763
69,,,克孜勒苏柯尔克孜自治州,2004,,,2255.0,,,,2,100.0,100.0,1.6277685678771239
70,,,海西蒙古族藏族自治州,2004,,,9757.0,,,,2,100.0,100.0,7.390637749667677
71,2.8943,,阿拉善盟,2003,,,7846.0,,,,2,100.0,100.0,5.922650145508553
72,,,克孜勒苏柯尔克孜自治州,2005,,,2296.0,,,,2,100.0,100.0,1.659263853994614
